"fold","method","metric","val","dataset"
1,"Lasso","auc",0.823529411764706,"heart"
1,"Lasso","acc",0.741935483870968,"heart"
1,"Lasso","brier_score",0.179597370795523,"heart"
2,"Lasso","auc",0.881818181818182,"heart"
2,"Lasso","acc",0.806451612903226,"heart"
2,"Lasso","brier_score",0.155781670570063,"heart"
3,"Lasso","auc",0.954545454545455,"heart"
3,"Lasso","acc",0.870967741935484,"heart"
3,"Lasso","brier_score",0.128355061929903,"heart"
4,"Lasso","auc",0.866071428571429,"heart"
4,"Lasso","acc",0.8,"heart"
4,"Lasso","brier_score",0.160354248405045,"heart"
5,"Lasso","auc",0.924107142857143,"heart"
5,"Lasso","acc",0.766666666666667,"heart"
5,"Lasso","brier_score",0.144731678548505,"heart"
6,"Lasso","auc",0.927601809954751,"heart"
6,"Lasso","acc",0.833333333333333,"heart"
6,"Lasso","brier_score",0.122793763186672,"heart"
7,"Lasso","auc",0.945701357466063,"heart"
7,"Lasso","acc",0.933333333333333,"heart"
7,"Lasso","brier_score",0.0789235705560902,"heart"
8,"Lasso","auc",0.912037037037037,"heart"
8,"Lasso","acc",0.9,"heart"
8,"Lasso","brier_score",0.106964572541073,"heart"
9,"Lasso","auc",0.895927601809955,"heart"
9,"Lasso","acc",0.9,"heart"
9,"Lasso","brier_score",0.131850577656654,"heart"
10,"Lasso","auc",0.925,"heart"
10,"Lasso","acc",0.833333333333333,"heart"
10,"Lasso","brier_score",0.112047579988002,"heart"
