"fold","method","metric","val","dataset"
1,"Ridge","auc",0.831932773109244,"heart"
1,"Ridge","acc",0.741935483870968,"heart"
1,"Ridge","brier_score",0.178104736220921,"heart"
2,"Ridge","auc",0.890909090909091,"heart"
2,"Ridge","acc",0.838709677419355,"heart"
2,"Ridge","brier_score",0.147731398585945,"heart"
3,"Ridge","auc",0.963636363636364,"heart"
3,"Ridge","acc",0.903225806451613,"heart"
3,"Ridge","brier_score",0.124342282803614,"heart"
4,"Ridge","auc",0.866071428571429,"heart"
4,"Ridge","acc",0.8,"heart"
4,"Ridge","brier_score",0.153409711945784,"heart"
5,"Ridge","auc",0.928571428571429,"heart"
5,"Ridge","acc",0.766666666666667,"heart"
5,"Ridge","brier_score",0.143879295100332,"heart"
6,"Ridge","auc",0.927601809954751,"heart"
6,"Ridge","acc",0.866666666666667,"heart"
6,"Ridge","brier_score",0.12241779186026,"heart"
7,"Ridge","auc",0.945701357466063,"heart"
7,"Ridge","acc",0.933333333333333,"heart"
7,"Ridge","brier_score",0.0787806798995551,"heart"
8,"Ridge","auc",0.912037037037037,"heart"
8,"Ridge","acc",0.9,"heart"
8,"Ridge","brier_score",0.110295168871995,"heart"
9,"Ridge","auc",0.904977375565611,"heart"
9,"Ridge","acc",0.9,"heart"
9,"Ridge","brier_score",0.123086920839625,"heart"
10,"Ridge","auc",0.925,"heart"
10,"Ridge","acc",0.833333333333333,"heart"
10,"Ridge","brier_score",0.113021977542742,"heart"
