"fold","method","metric","val","dataset"
1,"glm","auc",0.84453781512605,"heart"
1,"glm","acc",0.741935483870968,"heart"
1,"glm","brier_score",0.19498131963641,"heart"
2,"glm","auc",0.895454545454545,"heart"
2,"glm","acc",0.806451612903226,"heart"
2,"glm","brier_score",0.148028022574326,"heart"
3,"glm","auc",0.986363636363636,"heart"
3,"glm","acc",0.903225806451613,"heart"
3,"glm","brier_score",0.107434235517007,"heart"
4,"glm","auc",0.857142857142857,"heart"
4,"glm","acc",0.833333333333333,"heart"
4,"glm","brier_score",0.156016967193621,"heart"
5,"glm","auc",0.915178571428571,"heart"
5,"glm","acc",0.8,"heart"
5,"glm","brier_score",0.136963325029324,"heart"
6,"glm","auc",0.932126696832579,"heart"
6,"glm","acc",0.833333333333333,"heart"
6,"glm","brier_score",0.12120816710227,"heart"
7,"glm","auc",0.95475113122172,"heart"
7,"glm","acc",0.933333333333333,"heart"
7,"glm","brier_score",0.069990781540996,"heart"
8,"glm","auc",0.902777777777778,"heart"
8,"glm","acc",0.866666666666667,"heart"
8,"glm","brier_score",0.105923412434857,"heart"
9,"glm","auc",0.900452488687783,"heart"
9,"glm","acc",0.866666666666667,"heart"
9,"glm","brier_score",0.115650446259273,"heart"
10,"glm","auc",0.93,"heart"
10,"glm","acc",0.833333333333333,"heart"
10,"glm","brier_score",0.123787466432937,"heart"
