"fold","method","metric","val","dataset"
1,"rf","auc",0.878151260504202,"heart"
1,"rf","acc",0.838709677419355,"heart"
1,"rf","brier_score",0.137905548387097,"heart"
2,"rf","auc",0.95,"heart"
2,"rf","acc",0.806451612903226,"heart"
2,"rf","brier_score",0.123439483870968,"heart"
3,"rf","auc",0.922727272727273,"heart"
3,"rf","acc",0.774193548387097,"heart"
3,"rf","brier_score",0.137570580645161,"heart"
4,"rf","auc",0.859375,"heart"
4,"rf","acc",0.8,"heart"
4,"rf","brier_score",0.167548133333333,"heart"
5,"rf","auc",0.839285714285714,"heart"
5,"rf","acc",0.766666666666667,"heart"
5,"rf","brier_score",0.159825466666667,"heart"
6,"rf","auc",0.916289592760181,"heart"
6,"rf","acc",0.8,"heart"
6,"rf","brier_score",0.133785733333333,"heart"
7,"rf","auc",0.959276018099548,"heart"
7,"rf","acc",0.866666666666667,"heart"
7,"rf","brier_score",0.0846213333333333,"heart"
8,"rf","auc",0.888888888888889,"heart"
8,"rf","acc",0.866666666666667,"heart"
8,"rf","brier_score",0.122800666666667,"heart"
9,"rf","auc",0.898190045248869,"heart"
9,"rf","acc",0.766666666666667,"heart"
9,"rf","brier_score",0.139432,"heart"
10,"rf","auc",0.925,"heart"
10,"rf","acc",0.866666666666667,"heart"
10,"rf","brier_score",0.106126266666667,"heart"
