"fold","method","metric","val","dataset"
1,"Boosted Stumps","auc",0.743421052631579,"liver"
1,"Boosted Stumps","acc",0.685714285714286,"liver"
1,"Boosted Stumps","brier_score",0.201214425033035,"liver"
2,"Boosted Stumps","auc",0.557971014492754,"liver"
2,"Boosted Stumps","acc",0.542857142857143,"liver"
2,"Boosted Stumps","brier_score",0.284130817693618,"liver"
3,"Boosted Stumps","auc",0.56,"liver"
3,"Boosted Stumps","acc",0.4,"liver"
3,"Boosted Stumps","brier_score",0.324475952463545,"liver"
4,"Boosted Stumps","auc",0.666666666666667,"liver"
4,"Boosted Stumps","acc",0.6,"liver"
4,"Boosted Stumps","brier_score",0.234333782496107,"liver"
5,"Boosted Stumps","auc",0.561224489795918,"liver"
5,"Boosted Stumps","acc",0.485714285714286,"liver"
5,"Boosted Stumps","brier_score",0.266110959781307,"liver"
6,"Boosted Stumps","auc",0.767361111111111,"liver"
6,"Boosted Stumps","acc",0.794117647058823,"liver"
6,"Boosted Stumps","brier_score",0.207508841814888,"liver"
7,"Boosted Stumps","auc",0.772727272727273,"liver"
7,"Boosted Stumps","acc",0.705882352941177,"liver"
7,"Boosted Stumps","brier_score",0.207253111227273,"liver"
8,"Boosted Stumps","auc",0.633217993079585,"liver"
8,"Boosted Stumps","acc",0.5,"liver"
8,"Boosted Stumps","brier_score",0.247285844617606,"liver"
9,"Boosted Stumps","auc",0.55,"liver"
9,"Boosted Stumps","acc",0.5,"liver"
9,"Boosted Stumps","brier_score",0.275418963251216,"liver"
10,"Boosted Stumps","auc",0.680701754385965,"liver"
10,"Boosted Stumps","acc",0.617647058823529,"liver"
10,"Boosted Stumps","brier_score",0.228701434893561,"liver"
