"fold","method","metric","val","dataset"
1,"CART","auc",0.634868421052632,"liver"
1,"CART","acc",0.542857142857143,"liver"
1,"CART","brier_score",0.276039917439696,"liver"
2,"CART","auc",0.494565217391304,"liver"
2,"CART","acc",0.457142857142857,"liver"
2,"CART","brier_score",0.333466769579071,"liver"
3,"CART","auc",0.485,"liver"
3,"CART","acc",0.485714285714286,"liver"
3,"CART","brier_score",0.33706069601488,"liver"
4,"CART","auc",0.65,"liver"
4,"CART","acc",0.628571428571429,"liver"
4,"CART","brier_score",0.246803524541049,"liver"
5,"CART","auc",0.551020408163265,"liver"
5,"CART","acc",0.514285714285714,"liver"
5,"CART","brier_score",0.285803786257999,"liver"
6,"CART","auc",0.694444444444444,"liver"
6,"CART","acc",0.676470588235294,"liver"
6,"CART","brier_score",0.214659396533805,"liver"
7,"CART","auc",0.651515151515152,"liver"
7,"CART","acc",0.647058823529412,"liver"
7,"CART","brier_score",0.235354662451162,"liver"
8,"CART","auc",0.595155709342561,"liver"
8,"CART","acc",0.588235294117647,"liver"
8,"CART","brier_score",0.30035563384936,"liver"
9,"CART","auc",0.525,"liver"
9,"CART","acc",0.5,"liver"
9,"CART","brier_score",0.300022474083474,"liver"
10,"CART","auc",0.58421052631579,"liver"
10,"CART","acc",0.647058823529412,"liver"
10,"CART","brier_score",0.251001027509412,"liver"
