"fold","method","metric","val","dataset"
1,"ElasticNet","auc",0.792763157894737,"liver"
1,"ElasticNet","acc",0.742857142857143,"liver"
1,"ElasticNet","brier_score",0.201020615058191,"liver"
2,"ElasticNet","auc",0.65036231884058,"liver"
2,"ElasticNet","acc",0.514285714285714,"liver"
2,"ElasticNet","brier_score",0.245139998365137,"liver"
3,"ElasticNet","auc",0.533333333333333,"liver"
3,"ElasticNet","acc",0.571428571428571,"liver"
3,"ElasticNet","brier_score",0.282609088586646,"liver"
4,"ElasticNet","auc",0.68,"liver"
4,"ElasticNet","acc",0.685714285714286,"liver"
4,"ElasticNet","brier_score",0.23374626293853,"liver"
5,"ElasticNet","auc",0.63265306122449,"liver"
5,"ElasticNet","acc",0.657142857142857,"liver"
5,"ElasticNet","brier_score",0.22739887609383,"liver"
6,"ElasticNet","auc",0.722222222222222,"liver"
6,"ElasticNet","acc",0.705882352941177,"liver"
6,"ElasticNet","brier_score",0.218660446474746,"liver"
7,"ElasticNet","auc",0.768939393939394,"liver"
7,"ElasticNet","acc",0.647058823529412,"liver"
7,"ElasticNet","brier_score",0.209976701542289,"liver"
8,"ElasticNet","auc",0.591695501730104,"liver"
8,"ElasticNet","acc",0.529411764705882,"liver"
8,"ElasticNet","brier_score",0.23863994616829,"liver"
9,"ElasticNet","auc",0.667857142857143,"liver"
9,"ElasticNet","acc",0.617647058823529,"liver"
9,"ElasticNet","brier_score",0.254200532764827,"liver"
10,"ElasticNet","auc",0.670175438596491,"liver"
10,"ElasticNet","acc",0.617647058823529,"liver"
10,"ElasticNet","brier_score",0.23183909510821,"liver"
