"fold","method","metric","val","dataset"
1,"GBM","auc",0.828947368421053,"liver"
1,"GBM","acc",0.8,"liver"
1,"GBM","brier_score",0.177195912769313,"liver"
2,"GBM","auc",0.561594202898551,"liver"
2,"GBM","acc",0.514285714285714,"liver"
2,"GBM","brier_score",0.286797736692955,"liver"
3,"GBM","auc",0.543333333333333,"liver"
3,"GBM","acc",0.4,"liver"
3,"GBM","brier_score",0.313089236539942,"liver"
4,"GBM","auc",0.7,"liver"
4,"GBM","acc",0.685714285714286,"liver"
4,"GBM","brier_score",0.227336363011971,"liver"
5,"GBM","auc",0.54421768707483,"liver"
5,"GBM","acc",0.514285714285714,"liver"
5,"GBM","brier_score",0.26199942463816,"liver"
6,"GBM","auc",0.770833333333333,"liver"
6,"GBM","acc",0.735294117647059,"liver"
6,"GBM","brier_score",0.200542268303262,"liver"
7,"GBM","auc",0.723484848484849,"liver"
7,"GBM","acc",0.676470588235294,"liver"
7,"GBM","brier_score",0.221239909002396,"liver"
8,"GBM","auc",0.664359861591695,"liver"
8,"GBM","acc",0.588235294117647,"liver"
8,"GBM","brier_score",0.231172190301862,"liver"
9,"GBM","auc",0.464285714285714,"liver"
9,"GBM","acc",0.5,"liver"
9,"GBM","brier_score",0.268776590252915,"liver"
10,"GBM","auc",0.701754385964912,"liver"
10,"GBM","acc",0.647058823529412,"liver"
10,"GBM","brier_score",0.227973008462045,"liver"
