"fold","method","metric","val","dataset"
1,"Lasso","auc",0.779605263157895,"liver"
1,"Lasso","acc",0.685714285714286,"liver"
1,"Lasso","brier_score",0.205297339648027,"liver"
2,"Lasso","auc",0.630434782608696,"liver"
2,"Lasso","acc",0.542857142857143,"liver"
2,"Lasso","brier_score",0.251500977794829,"liver"
3,"Lasso","auc",0.533333333333333,"liver"
3,"Lasso","acc",0.571428571428571,"liver"
3,"Lasso","brier_score",0.281431837631008,"liver"
4,"Lasso","auc",0.68,"liver"
4,"Lasso","acc",0.685714285714286,"liver"
4,"Lasso","brier_score",0.233416951547317,"liver"
5,"Lasso","auc",0.625850340136054,"liver"
5,"Lasso","acc",0.6,"liver"
5,"Lasso","brier_score",0.223621052774481,"liver"
6,"Lasso","auc",0.694444444444444,"liver"
6,"Lasso","acc",0.676470588235294,"liver"
6,"Lasso","brier_score",0.218405455754819,"liver"
7,"Lasso","auc",0.772727272727273,"liver"
7,"Lasso","acc",0.647058823529412,"liver"
7,"Lasso","brier_score",0.209216785908587,"liver"
8,"Lasso","auc",0.588235294117647,"liver"
8,"Lasso","acc",0.617647058823529,"liver"
8,"Lasso","brier_score",0.2417261126101,"liver"
9,"Lasso","auc",0.653571428571429,"liver"
9,"Lasso","acc",0.617647058823529,"liver"
9,"Lasso","brier_score",0.252960783481504,"liver"
10,"Lasso","auc",0.666666666666667,"liver"
10,"Lasso","acc",0.617647058823529,"liver"
10,"Lasso","brier_score",0.231812959261721,"liver"
