"fold","method","metric","val","dataset"
1,"Ridge","auc",0.796052631578947,"liver"
1,"Ridge","acc",0.714285714285714,"liver"
1,"Ridge","brier_score",0.199946769432951,"liver"
2,"Ridge","auc",0.634057971014493,"liver"
2,"Ridge","acc",0.542857142857143,"liver"
2,"Ridge","brier_score",0.250770790073521,"liver"
3,"Ridge","auc",0.53,"liver"
3,"Ridge","acc",0.542857142857143,"liver"
3,"Ridge","brier_score",0.27677466468772,"liver"
4,"Ridge","auc",0.69,"liver"
4,"Ridge","acc",0.742857142857143,"liver"
4,"Ridge","brier_score",0.235160670768161,"liver"
5,"Ridge","auc",0.622448979591837,"liver"
5,"Ridge","acc",0.571428571428571,"liver"
5,"Ridge","brier_score",0.226922311407334,"liver"
6,"Ridge","auc",0.711805555555556,"liver"
6,"Ridge","acc",0.705882352941177,"liver"
6,"Ridge","brier_score",0.220541226986929,"liver"
7,"Ridge","auc",0.799242424242424,"liver"
7,"Ridge","acc",0.676470588235294,"liver"
7,"Ridge","brier_score",0.206381408381166,"liver"
8,"Ridge","auc",0.598615916955017,"liver"
8,"Ridge","acc",0.588235294117647,"liver"
8,"Ridge","brier_score",0.239057339386785,"liver"
9,"Ridge","auc",0.642857142857143,"liver"
9,"Ridge","acc",0.617647058823529,"liver"
9,"Ridge","brier_score",0.249906683165904,"liver"
10,"Ridge","auc",0.691228070175439,"liver"
10,"Ridge","acc",0.588235294117647,"liver"
10,"Ridge","brier_score",0.227495159082478,"liver"
