"fold","method","metric","val","dataset"
1,"glm","auc",0.792763157894737,"liver"
1,"glm","acc",0.685714285714286,"liver"
1,"glm","brier_score",0.188566733693651,"liver"
2,"glm","auc",0.590579710144927,"liver"
2,"glm","acc",0.514285714285714,"liver"
2,"glm","brier_score",0.259476179573334,"liver"
3,"glm","auc",0.546666666666667,"liver"
3,"glm","acc",0.514285714285714,"liver"
3,"glm","brier_score",0.270616078576017,"liver"
4,"glm","auc",0.696666666666667,"liver"
4,"glm","acc",0.685714285714286,"liver"
4,"glm","brier_score",0.225605471389783,"liver"
5,"glm","auc",0.64625850340136,"liver"
5,"glm","acc",0.628571428571429,"liver"
5,"glm","brier_score",0.221763896008831,"liver"
6,"glm","auc",0.690972222222222,"liver"
6,"glm","acc",0.705882352941177,"liver"
6,"glm","brier_score",0.213981498319483,"liver"
7,"glm","auc",0.806818181818182,"liver"
7,"glm","acc",0.676470588235294,"liver"
7,"glm","brier_score",0.195291608411125,"liver"
8,"glm","auc",0.560553633217993,"liver"
8,"glm","acc",0.558823529411765,"liver"
8,"glm","brier_score",0.246780222953747,"liver"
9,"glm","auc",0.682142857142857,"liver"
9,"glm","acc",0.617647058823529,"liver"
9,"glm","brier_score",0.238390176602341,"liver"
10,"glm","auc",0.670175438596491,"liver"
10,"glm","acc",0.558823529411765,"liver"
10,"glm","brier_score",0.224248456427229,"liver"
