"fold","method","metric","val","dataset"
1,"rf","auc",0.782894736842105,"liver"
1,"rf","acc",0.771428571428571,"liver"
1,"rf","brier_score",0.1922944,"liver"
2,"rf","auc",0.5,"liver"
2,"rf","acc",0.4,"liver"
2,"rf","brier_score",0.296589485714286,"liver"
3,"rf","auc",0.565,"liver"
3,"rf","acc",0.428571428571429,"liver"
3,"rf","brier_score",0.321651657142857,"liver"
4,"rf","auc",0.655,"liver"
4,"rf","acc",0.571428571428571,"liver"
4,"rf","brier_score",0.228482285714286,"liver"
5,"rf","auc",0.501700680272109,"liver"
5,"rf","acc",0.571428571428571,"liver"
5,"rf","brier_score",0.266823771428571,"liver"
6,"rf","auc",0.65625,"liver"
6,"rf","acc",0.588235294117647,"liver"
6,"rf","brier_score",0.227407176470588,"liver"
7,"rf","auc",0.681818181818182,"liver"
7,"rf","acc",0.676470588235294,"liver"
7,"rf","brier_score",0.229941882352941,"liver"
8,"rf","auc",0.595155709342561,"liver"
8,"rf","acc",0.5,"liver"
8,"rf","brier_score",0.252027529411765,"liver"
9,"rf","auc",0.535714285714286,"liver"
9,"rf","acc",0.5,"liver"
9,"rf","brier_score",0.268748823529412,"liver"
10,"rf","auc",0.587719298245614,"liver"
10,"rf","acc",0.529411764705882,"liver"
10,"rf","brier_score",0.247806,"liver"
