"fold","method","metric","val","dataset"
1,"Boosted Stumps","auc",0.882352941176471,"parkinsons"
1,"Boosted Stumps","acc",0.9,"parkinsons"
1,"Boosted Stumps","brier_score",0.0737868821212991,"parkinsons"
2,"Boosted Stumps","auc",1,"parkinsons"
2,"Boosted Stumps","acc",0.9,"parkinsons"
2,"Boosted Stumps","brier_score",0.0652589560654583,"parkinsons"
3,"Boosted Stumps","auc",0.976190476190476,"parkinsons"
3,"Boosted Stumps","acc",0.9,"parkinsons"
3,"Boosted Stumps","brier_score",0.0670327265478643,"parkinsons"
4,"Boosted Stumps","auc",1,"parkinsons"
4,"Boosted Stumps","acc",1,"parkinsons"
4,"Boosted Stumps","brier_score",0.0262283950723257,"parkinsons"
5,"Boosted Stumps","auc",1,"parkinsons"
5,"Boosted Stumps","acc",1,"parkinsons"
5,"Boosted Stumps","brier_score",0.0167910640276707,"parkinsons"
6,"Boosted Stumps","auc",0.676470588235294,"parkinsons"
6,"Boosted Stumps","acc",0.736842105263158,"parkinsons"
6,"Boosted Stumps","brier_score",0.183712896802287,"parkinsons"
7,"Boosted Stumps","auc",0.965909090909091,"parkinsons"
7,"Boosted Stumps","acc",0.894736842105263,"parkinsons"
7,"Boosted Stumps","brier_score",0.0914755075435615,"parkinsons"
8,"Boosted Stumps","auc",1,"parkinsons"
8,"Boosted Stumps","acc",0.894736842105263,"parkinsons"
8,"Boosted Stumps","brier_score",0.0459378134943808,"parkinsons"
9,"Boosted Stumps","auc",1,"parkinsons"
9,"Boosted Stumps","acc",0.947368421052632,"parkinsons"
9,"Boosted Stumps","brier_score",0.0404518437535247,"parkinsons"
10,"Boosted Stumps","auc",0.923076923076923,"parkinsons"
10,"Boosted Stumps","acc",0.842105263157895,"parkinsons"
10,"Boosted Stumps","brier_score",0.091226913319763,"parkinsons"
