"fold","method","metric","val","dataset"
1,"CART","auc",0.754901960784314,"parkinsons"
1,"CART","acc",0.9,"parkinsons"
1,"CART","brier_score",0.0786991738984891,"parkinsons"
2,"CART","auc",0.941176470588235,"parkinsons"
2,"CART","acc",0.9,"parkinsons"
2,"CART","brier_score",0.0924795731850209,"parkinsons"
3,"CART","auc",0.946428571428571,"parkinsons"
3,"CART","acc",0.9,"parkinsons"
3,"CART","brier_score",0.0841927969104308,"parkinsons"
4,"CART","auc",0.78125,"parkinsons"
4,"CART","acc",0.75,"parkinsons"
4,"CART","brier_score",0.178014046327301,"parkinsons"
5,"CART","auc",1,"parkinsons"
5,"CART","acc",0.75,"parkinsons"
5,"CART","brier_score",0.124285585362964,"parkinsons"
6,"CART","auc",0.617647058823529,"parkinsons"
6,"CART","acc",0.842105263157895,"parkinsons"
6,"CART","brier_score",0.158408000200143,"parkinsons"
7,"CART","auc",0.840909090909091,"parkinsons"
7,"CART","acc",0.842105263157895,"parkinsons"
7,"CART","brier_score",0.126163331820323,"parkinsons"
8,"CART","auc",0.845238095238095,"parkinsons"
8,"CART","acc",0.842105263157895,"parkinsons"
8,"CART","brier_score",0.130274095940318,"parkinsons"
9,"CART","auc",0.802083333333333,"parkinsons"
9,"CART","acc",0.947368421052632,"parkinsons"
9,"CART","brier_score",0.0695022863052739,"parkinsons"
10,"CART","auc",0.769230769230769,"parkinsons"
10,"CART","acc",0.736842105263158,"parkinsons"
10,"CART","brier_score",0.213372205907196,"parkinsons"
