"fold","method","metric","val","dataset"
1,"ElasticNet","auc",0.764705882352941,"parkinsons"
1,"ElasticNet","acc",0.85,"parkinsons"
1,"ElasticNet","brier_score",0.131498719869429,"parkinsons"
2,"ElasticNet","auc",1,"parkinsons"
2,"ElasticNet","acc",0.95,"parkinsons"
2,"ElasticNet","brier_score",0.0548238323583008,"parkinsons"
3,"ElasticNet","auc",0.988095238095238,"parkinsons"
3,"ElasticNet","acc",0.95,"parkinsons"
3,"ElasticNet","brier_score",0.0576415437854847,"parkinsons"
4,"ElasticNet","auc",0.921875,"parkinsons"
4,"ElasticNet","acc",0.85,"parkinsons"
4,"ElasticNet","brier_score",0.110365021051046,"parkinsons"
5,"ElasticNet","auc",0.928571428571429,"parkinsons"
5,"ElasticNet","acc",0.9,"parkinsons"
5,"ElasticNet","brier_score",0.0828362003566627,"parkinsons"
6,"ElasticNet","auc",0.676470588235294,"parkinsons"
6,"ElasticNet","acc",0.894736842105263,"parkinsons"
6,"ElasticNet","brier_score",0.117744591577421,"parkinsons"
7,"ElasticNet","auc",0.920454545454545,"parkinsons"
7,"ElasticNet","acc",0.842105263157895,"parkinsons"
7,"ElasticNet","brier_score",0.151028126546346,"parkinsons"
8,"ElasticNet","auc",0.857142857142857,"parkinsons"
8,"ElasticNet","acc",0.842105263157895,"parkinsons"
8,"ElasticNet","brier_score",0.16487837229061,"parkinsons"
9,"ElasticNet","auc",0.75,"parkinsons"
9,"ElasticNet","acc",0.842105263157895,"parkinsons"
9,"ElasticNet","brier_score",0.132972437620982,"parkinsons"
10,"ElasticNet","auc",0.923076923076923,"parkinsons"
10,"ElasticNet","acc",0.842105263157895,"parkinsons"
10,"ElasticNet","brier_score",0.118969837140024,"parkinsons"
