"fold","method","metric","val","dataset"
1,"GBM","auc",0.941176470588235,"parkinsons"
1,"GBM","acc",0.95,"parkinsons"
1,"GBM","brier_score",0.0593914120791573,"parkinsons"
2,"GBM","auc",0.980392156862745,"parkinsons"
2,"GBM","acc",0.95,"parkinsons"
2,"GBM","brier_score",0.0504068546144589,"parkinsons"
3,"GBM","auc",0.988095238095238,"parkinsons"
3,"GBM","acc",0.9,"parkinsons"
3,"GBM","brier_score",0.0508972709792876,"parkinsons"
4,"GBM","auc",1,"parkinsons"
4,"GBM","acc",1,"parkinsons"
4,"GBM","brier_score",0.0176080039416041,"parkinsons"
5,"GBM","auc",1,"parkinsons"
5,"GBM","acc",1,"parkinsons"
5,"GBM","brier_score",0.0251287110487218,"parkinsons"
6,"GBM","auc",0.794117647058823,"parkinsons"
6,"GBM","acc",0.736842105263158,"parkinsons"
6,"GBM","brier_score",0.147198528972439,"parkinsons"
7,"GBM","auc",0.988636363636364,"parkinsons"
7,"GBM","acc",0.894736842105263,"parkinsons"
7,"GBM","brier_score",0.0795704626164262,"parkinsons"
8,"GBM","auc",1,"parkinsons"
8,"GBM","acc",0.894736842105263,"parkinsons"
8,"GBM","brier_score",0.0589919167410909,"parkinsons"
9,"GBM","auc",0.979166666666667,"parkinsons"
9,"GBM","acc",0.947368421052632,"parkinsons"
9,"GBM","brier_score",0.0437285979673886,"parkinsons"
10,"GBM","auc",0.897435897435897,"parkinsons"
10,"GBM","acc",0.947368421052632,"parkinsons"
10,"GBM","brier_score",0.0803468472212524,"parkinsons"
