"fold","method","metric","val","dataset"
1,"Lasso","auc",0.764705882352941,"parkinsons"
1,"Lasso","acc",0.85,"parkinsons"
1,"Lasso","brier_score",0.132142969763689,"parkinsons"
2,"Lasso","auc",1,"parkinsons"
2,"Lasso","acc",0.95,"parkinsons"
2,"Lasso","brier_score",0.0578412581455434,"parkinsons"
3,"Lasso","auc",0.988095238095238,"parkinsons"
3,"Lasso","acc",0.95,"parkinsons"
3,"Lasso","brier_score",0.0590761616682796,"parkinsons"
4,"Lasso","auc",0.9375,"parkinsons"
4,"Lasso","acc",0.9,"parkinsons"
4,"Lasso","brier_score",0.109753780757576,"parkinsons"
5,"Lasso","auc",0.928571428571429,"parkinsons"
5,"Lasso","acc",0.9,"parkinsons"
5,"Lasso","brier_score",0.0850945834645764,"parkinsons"
6,"Lasso","auc",0.676470588235294,"parkinsons"
6,"Lasso","acc",0.894736842105263,"parkinsons"
6,"Lasso","brier_score",0.116576554284913,"parkinsons"
7,"Lasso","auc",0.920454545454545,"parkinsons"
7,"Lasso","acc",0.842105263157895,"parkinsons"
7,"Lasso","brier_score",0.152044703599135,"parkinsons"
8,"Lasso","auc",0.845238095238095,"parkinsons"
8,"Lasso","acc",0.789473684210526,"parkinsons"
8,"Lasso","brier_score",0.16543903666854,"parkinsons"
9,"Lasso","auc",0.6875,"parkinsons"
9,"Lasso","acc",0.842105263157895,"parkinsons"
9,"Lasso","brier_score",0.138286447455914,"parkinsons"
10,"Lasso","auc",0.923076923076923,"parkinsons"
10,"Lasso","acc",0.842105263157895,"parkinsons"
10,"Lasso","brier_score",0.120665806000437,"parkinsons"
