"fold","method","metric","val","dataset"
1,"Ridge","auc",0.784313725490196,"parkinsons"
1,"Ridge","acc",0.8,"parkinsons"
1,"Ridge","brier_score",0.122647547761273,"parkinsons"
2,"Ridge","auc",0.96078431372549,"parkinsons"
2,"Ridge","acc",0.95,"parkinsons"
2,"Ridge","brier_score",0.0650779467164769,"parkinsons"
3,"Ridge","auc",0.952380952380952,"parkinsons"
3,"Ridge","acc",0.85,"parkinsons"
3,"Ridge","brier_score",0.0939830794975588,"parkinsons"
4,"Ridge","auc",0.828125,"parkinsons"
4,"Ridge","acc",0.85,"parkinsons"
4,"Ridge","brier_score",0.127781681609231,"parkinsons"
5,"Ridge","auc",0.952380952380952,"parkinsons"
5,"Ridge","acc",0.95,"parkinsons"
5,"Ridge","brier_score",0.071003530241396,"parkinsons"
6,"Ridge","auc",0.617647058823529,"parkinsons"
6,"Ridge","acc",0.842105263157895,"parkinsons"
6,"Ridge","brier_score",0.116741419227523,"parkinsons"
7,"Ridge","auc",0.931818181818182,"parkinsons"
7,"Ridge","acc",0.789473684210526,"parkinsons"
7,"Ridge","brier_score",0.155881305652869,"parkinsons"
8,"Ridge","auc",0.869047619047619,"parkinsons"
8,"Ridge","acc",0.789473684210526,"parkinsons"
8,"Ridge","brier_score",0.155747280555055,"parkinsons"
9,"Ridge","auc",0.708333333333333,"parkinsons"
9,"Ridge","acc",0.842105263157895,"parkinsons"
9,"Ridge","brier_score",0.136630993543864,"parkinsons"
10,"Ridge","auc",0.923076923076923,"parkinsons"
10,"Ridge","acc",0.947368421052632,"parkinsons"
10,"Ridge","brier_score",0.125196242993893,"parkinsons"
