"fold","method","metric","val","dataset"
1,"glm","auc",0.784313725490196,"parkinsons"
1,"glm","acc",0.85,"parkinsons"
1,"glm","brier_score",0.100666391975392,"parkinsons"
2,"glm","auc",1,"parkinsons"
2,"glm","acc",0.95,"parkinsons"
2,"glm","brier_score",0.0360333918187418,"parkinsons"
3,"glm","auc",0.94047619047619,"parkinsons"
3,"glm","acc",0.9,"parkinsons"
3,"glm","brier_score",0.0785514950199326,"parkinsons"
4,"glm","auc",0.9375,"parkinsons"
4,"glm","acc",0.95,"parkinsons"
4,"glm","brier_score",0.070769064888883,"parkinsons"
5,"glm","auc",0.964285714285714,"parkinsons"
5,"glm","acc",0.9,"parkinsons"
5,"glm","brier_score",0.0667374640034105,"parkinsons"
6,"glm","auc",0.5,"parkinsons"
6,"glm","acc",0.842105263157895,"parkinsons"
6,"glm","brier_score",0.13596969123483,"parkinsons"
7,"glm","auc",0.897727272727273,"parkinsons"
7,"glm","acc",0.789473684210526,"parkinsons"
7,"glm","brier_score",0.157307104788406,"parkinsons"
8,"glm","auc",0.880952380952381,"parkinsons"
8,"glm","acc",0.842105263157895,"parkinsons"
8,"glm","brier_score",0.162801172326654,"parkinsons"
9,"glm","auc",0.875,"parkinsons"
9,"glm","acc",0.736842105263158,"parkinsons"
9,"glm","brier_score",0.143465940073722,"parkinsons"
10,"glm","auc",0.884615384615385,"parkinsons"
10,"glm","acc",0.842105263157895,"parkinsons"
10,"glm","brier_score",0.153730849608095,"parkinsons"
