"fold","method","metric","val","dataset"
1,"rf","auc",0.901960784313726,"parkinsons"
1,"rf","acc",0.95,"parkinsons"
1,"rf","brier_score",0.0699638,"parkinsons"
2,"rf","auc",0.990196078431373,"parkinsons"
2,"rf","acc",0.95,"parkinsons"
2,"rf","brier_score",0.0433566,"parkinsons"
3,"rf","auc",1,"parkinsons"
3,"rf","acc",0.9,"parkinsons"
3,"rf","brier_score",0.0478586,"parkinsons"
4,"rf","auc",0.96875,"parkinsons"
4,"rf","acc",0.9,"parkinsons"
4,"rf","brier_score",0.0599904,"parkinsons"
5,"rf","auc",1,"parkinsons"
5,"rf","acc",1,"parkinsons"
5,"rf","brier_score",0.0596944,"parkinsons"
6,"rf","auc",0.823529411764706,"parkinsons"
6,"rf","acc",0.789473684210526,"parkinsons"
6,"rf","brier_score",0.104164421052632,"parkinsons"
7,"rf","auc",0.943181818181818,"parkinsons"
7,"rf","acc",0.842105263157895,"parkinsons"
7,"rf","brier_score",0.0971717894736842,"parkinsons"
8,"rf","auc",0.988095238095238,"parkinsons"
8,"rf","acc",0.894736842105263,"parkinsons"
8,"rf","brier_score",0.0824404210526316,"parkinsons"
9,"rf","auc",0.958333333333333,"parkinsons"
9,"rf","acc",0.947368421052632,"parkinsons"
9,"rf","brier_score",0.0630507368421053,"parkinsons"
10,"rf","auc",0.935897435897436,"parkinsons"
10,"rf","acc",0.894736842105263,"parkinsons"
10,"rf","brier_score",0.096818947368421,"parkinsons"
