"fold","method","metric","val","dataset"
1,"Boosted Stumps","auc",0.961538461538462,"pop_failures"
1,"Boosted Stumps","acc",0.981481481481482,"pop_failures"
1,"Boosted Stumps","brier_score",0.0193711598893201,"pop_failures"
2,"Boosted Stumps","auc",0.78,"pop_failures"
2,"Boosted Stumps","acc",0.925925925925926,"pop_failures"
2,"Boosted Stumps","brier_score",0.0667365520112751,"pop_failures"
3,"Boosted Stumps","auc",0.911854103343465,"pop_failures"
3,"Boosted Stumps","acc",0.907407407407407,"pop_failures"
3,"Boosted Stumps","brier_score",0.0760630755905037,"pop_failures"
4,"Boosted Stumps","auc",0.973856209150327,"pop_failures"
4,"Boosted Stumps","acc",0.944444444444444,"pop_failures"
4,"Boosted Stumps","brier_score",0.0307971601581204,"pop_failures"
5,"Boosted Stumps","auc",0.938775510204082,"pop_failures"
5,"Boosted Stumps","acc",0.907407407407407,"pop_failures"
5,"Boosted Stumps","brier_score",0.0617948643403178,"pop_failures"
6,"Boosted Stumps","auc",0.927051671732523,"pop_failures"
6,"Boosted Stumps","acc",0.907407407407407,"pop_failures"
6,"Boosted Stumps","brier_score",0.06341304531025,"pop_failures"
7,"Boosted Stumps","auc",0.938775510204082,"pop_failures"
7,"Boosted Stumps","acc",0.944444444444444,"pop_failures"
7,"Boosted Stumps","brier_score",0.0551792900252902,"pop_failures"
8,"Boosted Stumps","auc",0.795,"pop_failures"
8,"Boosted Stumps","acc",0.944444444444444,"pop_failures"
8,"Boosted Stumps","brier_score",0.0376086764840057,"pop_failures"
9,"Boosted Stumps","auc",0.934640522875817,"pop_failures"
9,"Boosted Stumps","acc",0.925925925925926,"pop_failures"
9,"Boosted Stumps","brier_score",0.0432735481090375,"pop_failures"
10,"Boosted Stumps","auc",0.940972222222222,"pop_failures"
10,"Boosted Stumps","acc",0.87037037037037,"pop_failures"
10,"Boosted Stumps","brier_score",0.0633102480258473,"pop_failures"
