"fold","method","metric","val","dataset"
1,"CART","auc",0.956730769230769,"pop_failures"
1,"CART","acc",0.962962962962963,"pop_failures"
1,"CART","brier_score",0.0250974816165417,"pop_failures"
2,"CART","auc",0.75,"pop_failures"
2,"CART","acc",0.888888888888889,"pop_failures"
2,"CART","brier_score",0.0919091093129793,"pop_failures"
3,"CART","auc",0.937689969604863,"pop_failures"
3,"CART","acc",0.944444444444444,"pop_failures"
3,"CART","brier_score",0.0494629708003075,"pop_failures"
4,"CART","auc",0.816993464052288,"pop_failures"
4,"CART","acc",0.944444444444444,"pop_failures"
4,"CART","brier_score",0.0416973279399208,"pop_failures"
5,"CART","auc",0.820408163265306,"pop_failures"
5,"CART","acc",0.888888888888889,"pop_failures"
5,"CART","brier_score",0.0788718804715766,"pop_failures"
6,"CART","auc",0.86322188449848,"pop_failures"
6,"CART","acc",0.925925925925926,"pop_failures"
6,"CART","brier_score",0.0660862720841684,"pop_failures"
7,"CART","auc",0.804081632653061,"pop_failures"
7,"CART","acc",0.944444444444444,"pop_failures"
7,"CART","brier_score",0.0494209559094319,"pop_failures"
8,"CART","auc",0.6675,"pop_failures"
8,"CART","acc",0.925925925925926,"pop_failures"
8,"CART","brier_score",0.0619333087567402,"pop_failures"
9,"CART","auc",0.888888888888889,"pop_failures"
9,"CART","acc",0.925925925925926,"pop_failures"
9,"CART","brier_score",0.0422794739330583,"pop_failures"
10,"CART","auc",0.666666666666667,"pop_failures"
10,"CART","acc",0.925925925925926,"pop_failures"
10,"CART","brier_score",0.0721627868736829,"pop_failures"
