"fold","method","metric","val","dataset"
1,"ElasticNet","auc",0.980769230769231,"pop_failures"
1,"ElasticNet","acc",0.962962962962963,"pop_failures"
1,"ElasticNet","brier_score",0.0349338783096024,"pop_failures"
2,"ElasticNet","auc",0.865,"pop_failures"
2,"ElasticNet","acc",0.925925925925926,"pop_failures"
2,"ElasticNet","brier_score",0.0648346011653344,"pop_failures"
3,"ElasticNet","auc",0.978723404255319,"pop_failures"
3,"ElasticNet","acc",0.87037037037037,"pop_failures"
3,"ElasticNet","brier_score",0.0813921772034774,"pop_failures"
4,"ElasticNet","auc",0.973856209150327,"pop_failures"
4,"ElasticNet","acc",0.944444444444444,"pop_failures"
4,"ElasticNet","brier_score",0.0476364910056266,"pop_failures"
5,"ElasticNet","auc",0.987755102040816,"pop_failures"
5,"ElasticNet","acc",0.907407407407407,"pop_failures"
5,"ElasticNet","brier_score",0.0631101502859102,"pop_failures"
6,"ElasticNet","auc",0.972644376899696,"pop_failures"
6,"ElasticNet","acc",0.87037037037037,"pop_failures"
6,"ElasticNet","brier_score",0.0832129060614544,"pop_failures"
7,"ElasticNet","auc",0.987755102040816,"pop_failures"
7,"ElasticNet","acc",0.907407407407407,"pop_failures"
7,"ElasticNet","brier_score",0.0591973978565782,"pop_failures"
8,"ElasticNet","auc",0.72,"pop_failures"
8,"ElasticNet","acc",0.925925925925926,"pop_failures"
8,"ElasticNet","brier_score",0.0655962166868046,"pop_failures"
9,"ElasticNet","auc",0.967320261437909,"pop_failures"
9,"ElasticNet","acc",0.944444444444444,"pop_failures"
9,"ElasticNet","brier_score",0.0429253875329663,"pop_failures"
10,"ElasticNet","auc",0.996527777777778,"pop_failures"
10,"ElasticNet","acc",0.888888888888889,"pop_failures"
10,"ElasticNet","brier_score",0.0667921684939786,"pop_failures"
