"fold","method","metric","val","dataset"
1,"GBM","auc",0.990384615384615,"pop_failures"
1,"GBM","acc",0.981481481481482,"pop_failures"
1,"GBM","brier_score",0.0139754407885383,"pop_failures"
2,"GBM","auc",0.94,"pop_failures"
2,"GBM","acc",0.944444444444444,"pop_failures"
2,"GBM","brier_score",0.0521844104419006,"pop_failures"
3,"GBM","auc",0.945288753799392,"pop_failures"
3,"GBM","acc",0.888888888888889,"pop_failures"
3,"GBM","brier_score",0.0768053216613566,"pop_failures"
4,"GBM","auc",0.986928104575163,"pop_failures"
4,"GBM","acc",0.944444444444444,"pop_failures"
4,"GBM","brier_score",0.0222497516829051,"pop_failures"
5,"GBM","auc",0.975510204081633,"pop_failures"
5,"GBM","acc",0.925925925925926,"pop_failures"
5,"GBM","brier_score",0.0455379252728495,"pop_failures"
6,"GBM","auc",0.908814589665653,"pop_failures"
6,"GBM","acc",0.925925925925926,"pop_failures"
6,"GBM","brier_score",0.0610711809237539,"pop_failures"
7,"GBM","auc",0.942857142857143,"pop_failures"
7,"GBM","acc",0.944444444444444,"pop_failures"
7,"GBM","brier_score",0.0501306629060571,"pop_failures"
8,"GBM","auc",0.775,"pop_failures"
8,"GBM","acc",0.944444444444444,"pop_failures"
8,"GBM","brier_score",0.0439719366785248,"pop_failures"
9,"GBM","auc",0.941176470588235,"pop_failures"
9,"GBM","acc",0.981481481481482,"pop_failures"
9,"GBM","brier_score",0.0254306524534648,"pop_failures"
10,"GBM","auc",0.965277777777778,"pop_failures"
10,"GBM","acc",0.944444444444444,"pop_failures"
10,"GBM","brier_score",0.0420396001036456,"pop_failures"
