"fold","method","metric","val","dataset"
1,"Lasso","auc",0.980769230769231,"pop_failures"
1,"Lasso","acc",0.962962962962963,"pop_failures"
1,"Lasso","brier_score",0.0346926633170745,"pop_failures"
2,"Lasso","auc",0.87,"pop_failures"
2,"Lasso","acc",0.925925925925926,"pop_failures"
2,"Lasso","brier_score",0.0644806784629323,"pop_failures"
3,"Lasso","auc",0.966565349544073,"pop_failures"
3,"Lasso","acc",0.87037037037037,"pop_failures"
3,"Lasso","brier_score",0.0835950709157117,"pop_failures"
4,"Lasso","auc",0.980392156862745,"pop_failures"
4,"Lasso","acc",0.944444444444444,"pop_failures"
4,"Lasso","brier_score",0.0466258836150682,"pop_failures"
5,"Lasso","auc",0.963265306122449,"pop_failures"
5,"Lasso","acc",0.907407407407407,"pop_failures"
5,"Lasso","brier_score",0.063591557871024,"pop_failures"
6,"Lasso","auc",0.972644376899696,"pop_failures"
6,"Lasso","acc",0.87037037037037,"pop_failures"
6,"Lasso","brier_score",0.0829890999201759,"pop_failures"
7,"Lasso","auc",0.991836734693878,"pop_failures"
7,"Lasso","acc",0.907407407407407,"pop_failures"
7,"Lasso","brier_score",0.0576461359806051,"pop_failures"
8,"Lasso","auc",0.725,"pop_failures"
8,"Lasso","acc",0.925925925925926,"pop_failures"
8,"Lasso","brier_score",0.0656797885703538,"pop_failures"
9,"Lasso","auc",0.967320261437909,"pop_failures"
9,"Lasso","acc",0.944444444444444,"pop_failures"
9,"Lasso","brier_score",0.0428070463475944,"pop_failures"
10,"Lasso","auc",0.996527777777778,"pop_failures"
10,"Lasso","acc",0.888888888888889,"pop_failures"
10,"Lasso","brier_score",0.0667426744517761,"pop_failures"
