"fold","method","metric","val","dataset"
1,"Ridge","auc",0.980769230769231,"pop_failures"
1,"Ridge","acc",0.962962962962963,"pop_failures"
1,"Ridge","brier_score",0.0338386794400262,"pop_failures"
2,"Ridge","auc",0.815,"pop_failures"
2,"Ridge","acc",0.925925925925926,"pop_failures"
2,"Ridge","brier_score",0.0673445815479811,"pop_failures"
3,"Ridge","auc",0.987841945288754,"pop_failures"
3,"Ridge","acc",0.87037037037037,"pop_failures"
3,"Ridge","brier_score",0.0805639543938898,"pop_failures"
4,"Ridge","auc",0.980392156862745,"pop_failures"
4,"Ridge","acc",0.944444444444444,"pop_failures"
4,"Ridge","brier_score",0.0478352961356441,"pop_failures"
5,"Ridge","auc",0.979591836734694,"pop_failures"
5,"Ridge","acc",0.907407407407407,"pop_failures"
5,"Ridge","brier_score",0.0633720013345081,"pop_failures"
6,"Ridge","auc",0.975683890577508,"pop_failures"
6,"Ridge","acc",0.87037037037037,"pop_failures"
6,"Ridge","brier_score",0.0803984209933784,"pop_failures"
7,"Ridge","auc",0.979591836734694,"pop_failures"
7,"Ridge","acc",0.907407407407407,"pop_failures"
7,"Ridge","brier_score",0.0588419640498347,"pop_failures"
8,"Ridge","auc",0.745,"pop_failures"
8,"Ridge","acc",0.925925925925926,"pop_failures"
8,"Ridge","brier_score",0.0638433539274017,"pop_failures"
9,"Ridge","auc",0.980392156862745,"pop_failures"
9,"Ridge","acc",0.944444444444444,"pop_failures"
9,"Ridge","brier_score",0.0448755351457604,"pop_failures"
10,"Ridge","auc",1,"pop_failures"
10,"Ridge","acc",0.888888888888889,"pop_failures"
10,"Ridge","brier_score",0.0676037398197154,"pop_failures"
