"fold","method","metric","val","dataset"
1,"glm","auc",0.990384615384615,"pop_failures"
1,"glm","acc",0.981481481481482,"pop_failures"
1,"glm","brier_score",0.0152512150257559,"pop_failures"
2,"glm","auc",0.885,"pop_failures"
2,"glm","acc",0.944444444444444,"pop_failures"
2,"glm","brier_score",0.0435331727377014,"pop_failures"
3,"glm","auc",0.996960486322188,"pop_failures"
3,"glm","acc",0.962962962962963,"pop_failures"
3,"glm","brier_score",0.0266064559361404,"pop_failures"
4,"glm","auc",0.993464052287582,"pop_failures"
4,"glm","acc",0.962962962962963,"pop_failures"
4,"glm","brier_score",0.0269281292358343,"pop_failures"
5,"glm","auc",0.963265306122449,"pop_failures"
5,"glm","acc",0.944444444444444,"pop_failures"
5,"glm","brier_score",0.0413191700213061,"pop_failures"
6,"glm","auc",0.978723404255319,"pop_failures"
6,"glm","acc",0.944444444444444,"pop_failures"
6,"glm","brier_score",0.0385667961755295,"pop_failures"
7,"glm","auc",1,"pop_failures"
7,"glm","acc",0.962962962962963,"pop_failures"
7,"glm","brier_score",0.0327800170453191,"pop_failures"
8,"glm","auc",0.755,"pop_failures"
8,"glm","acc",0.962962962962963,"pop_failures"
8,"glm","brier_score",0.0375462699340277,"pop_failures"
9,"glm","auc",0.967320261437909,"pop_failures"
9,"glm","acc",0.925925925925926,"pop_failures"
9,"glm","brier_score",0.0444505492419772,"pop_failures"
10,"glm","auc",0.993055555555556,"pop_failures"
10,"glm","acc",0.981481481481482,"pop_failures"
10,"glm","brier_score",0.0214508330941049,"pop_failures"
