"fold","method","metric","val","dataset"
1,"Boosted Stumps","auc",0.907407407407407,"sonar"
1,"Boosted Stumps","acc",0.80952380952381,"sonar"
1,"Boosted Stumps","brier_score",0.127826429037326,"sonar"
2,"Boosted Stumps","auc",0.932692307692308,"sonar"
2,"Boosted Stumps","acc",0.904761904761905,"sonar"
2,"Boosted Stumps","brier_score",0.0792538692913866,"sonar"
3,"Boosted Stumps","auc",0.951923076923077,"sonar"
3,"Boosted Stumps","acc",0.80952380952381,"sonar"
3,"Boosted Stumps","brier_score",0.123359811304956,"sonar"
4,"Boosted Stumps","auc",0.788461538461539,"sonar"
4,"Boosted Stumps","acc",0.714285714285714,"sonar"
4,"Boosted Stumps","brier_score",0.187510922164229,"sonar"
5,"Boosted Stumps","auc",0.845454545454545,"sonar"
5,"Boosted Stumps","acc",0.857142857142857,"sonar"
5,"Boosted Stumps","brier_score",0.134201419217533,"sonar"
6,"Boosted Stumps","auc",0.827272727272727,"sonar"
6,"Boosted Stumps","acc",0.714285714285714,"sonar"
6,"Boosted Stumps","brier_score",0.175296734983921,"sonar"
7,"Boosted Stumps","auc",0.963636363636364,"sonar"
7,"Boosted Stumps","acc",0.761904761904762,"sonar"
7,"Boosted Stumps","brier_score",0.0970061263912035,"sonar"
8,"Boosted Stumps","auc",0.881818181818182,"sonar"
8,"Boosted Stumps","acc",0.761904761904762,"sonar"
8,"Boosted Stumps","brier_score",0.146712759699888,"sonar"
9,"Boosted Stumps","auc",0.94,"sonar"
9,"Boosted Stumps","acc",0.85,"sonar"
9,"Boosted Stumps","brier_score",0.106904129674447,"sonar"
10,"Boosted Stumps","auc",1,"sonar"
10,"Boosted Stumps","acc",1,"sonar"
10,"Boosted Stumps","brier_score",0.026683919996058,"sonar"
