"fold","method","metric","val","dataset"
1,"CART","auc",0.810185185185185,"sonar"
1,"CART","acc",0.761904761904762,"sonar"
1,"CART","brier_score",0.203183726558191,"sonar"
2,"CART","auc",0.865384615384615,"sonar"
2,"CART","acc",0.857142857142857,"sonar"
2,"CART","brier_score",0.115779817086613,"sonar"
3,"CART","auc",0.913461538461538,"sonar"
3,"CART","acc",0.904761904761905,"sonar"
3,"CART","brier_score",0.085011418945463,"sonar"
4,"CART","auc",0.706730769230769,"sonar"
4,"CART","acc",0.761904761904762,"sonar"
4,"CART","brier_score",0.215799982615157,"sonar"
5,"CART","auc",0.663636363636364,"sonar"
5,"CART","acc",0.619047619047619,"sonar"
5,"CART","brier_score",0.309244261862578,"sonar"
6,"CART","auc",0.609090909090909,"sonar"
6,"CART","acc",0.523809523809524,"sonar"
6,"CART","brier_score",0.386815897029286,"sonar"
7,"CART","auc",0.768181818181818,"sonar"
7,"CART","acc",0.761904761904762,"sonar"
7,"CART","brier_score",0.192851740295543,"sonar"
8,"CART","auc",0.831818181818182,"sonar"
8,"CART","acc",0.761904761904762,"sonar"
8,"CART","brier_score",0.196491326253445,"sonar"
9,"CART","auc",0.795,"sonar"
9,"CART","acc",0.75,"sonar"
9,"CART","brier_score",0.201305458155756,"sonar"
10,"CART","auc",0.875,"sonar"
10,"CART","acc",0.85,"sonar"
10,"CART","brier_score",0.135631913042003,"sonar"
