"fold","method","metric","val","dataset"
1,"ElasticNet","auc",0.787037037037037,"sonar"
1,"ElasticNet","acc",0.714285714285714,"sonar"
1,"ElasticNet","brier_score",0.193094207512083,"sonar"
2,"ElasticNet","auc",0.923076923076923,"sonar"
2,"ElasticNet","acc",0.714285714285714,"sonar"
2,"ElasticNet","brier_score",0.150740782961359,"sonar"
3,"ElasticNet","auc",0.961538461538462,"sonar"
3,"ElasticNet","acc",0.761904761904762,"sonar"
3,"ElasticNet","brier_score",0.136628020440298,"sonar"
4,"ElasticNet","auc",0.721153846153846,"sonar"
4,"ElasticNet","acc",0.619047619047619,"sonar"
4,"ElasticNet","brier_score",0.189239584294573,"sonar"
5,"ElasticNet","auc",0.618181818181818,"sonar"
5,"ElasticNet","acc",0.619047619047619,"sonar"
5,"ElasticNet","brier_score",0.273301737473702,"sonar"
6,"ElasticNet","auc",0.790909090909091,"sonar"
6,"ElasticNet","acc",0.761904761904762,"sonar"
6,"ElasticNet","brier_score",0.21089366647306,"sonar"
7,"ElasticNet","auc",0.909090909090909,"sonar"
7,"ElasticNet","acc",0.80952380952381,"sonar"
7,"ElasticNet","brier_score",0.13648159457831,"sonar"
8,"ElasticNet","auc",0.745454545454545,"sonar"
8,"ElasticNet","acc",0.80952380952381,"sonar"
8,"ElasticNet","brier_score",0.213733160137752,"sonar"
9,"ElasticNet","auc",0.87,"sonar"
9,"ElasticNet","acc",0.85,"sonar"
9,"ElasticNet","brier_score",0.161181703484565,"sonar"
10,"ElasticNet","auc",0.979166666666667,"sonar"
10,"ElasticNet","acc",0.9,"sonar"
10,"ElasticNet","brier_score",0.149382784152125,"sonar"
