"fold","method","metric","val","dataset"
1,"GBM","auc",0.925925925925926,"sonar"
1,"GBM","acc",0.80952380952381,"sonar"
1,"GBM","brier_score",0.127054958064283,"sonar"
2,"GBM","auc",1,"sonar"
2,"GBM","acc",1,"sonar"
2,"GBM","brier_score",0.0481094824707191,"sonar"
3,"GBM","auc",0.932692307692308,"sonar"
3,"GBM","acc",0.857142857142857,"sonar"
3,"GBM","brier_score",0.107010339015915,"sonar"
4,"GBM","auc",0.807692307692308,"sonar"
4,"GBM","acc",0.761904761904762,"sonar"
4,"GBM","brier_score",0.181291811560469,"sonar"
5,"GBM","auc",0.890909090909091,"sonar"
5,"GBM","acc",0.80952380952381,"sonar"
5,"GBM","brier_score",0.131708645357155,"sonar"
6,"GBM","auc",0.890909090909091,"sonar"
6,"GBM","acc",0.714285714285714,"sonar"
6,"GBM","brier_score",0.139943856396336,"sonar"
7,"GBM","auc",0.981818181818182,"sonar"
7,"GBM","acc",0.857142857142857,"sonar"
7,"GBM","brier_score",0.0835859177540819,"sonar"
8,"GBM","auc",0.927272727272727,"sonar"
8,"GBM","acc",0.80952380952381,"sonar"
8,"GBM","brier_score",0.130075419988668,"sonar"
9,"GBM","auc",0.91,"sonar"
9,"GBM","acc",0.8,"sonar"
9,"GBM","brier_score",0.118397830366281,"sonar"
10,"GBM","auc",1,"sonar"
10,"GBM","acc",1,"sonar"
10,"GBM","brier_score",0.0378161993967899,"sonar"
