"fold","method","metric","val","dataset"
1,"Lasso","auc",0.787037037037037,"sonar"
1,"Lasso","acc",0.714285714285714,"sonar"
1,"Lasso","brier_score",0.198694876242336,"sonar"
2,"Lasso","auc",0.923076923076923,"sonar"
2,"Lasso","acc",0.714285714285714,"sonar"
2,"Lasso","brier_score",0.152072785431645,"sonar"
3,"Lasso","auc",0.961538461538462,"sonar"
3,"Lasso","acc",0.761904761904762,"sonar"
3,"Lasso","brier_score",0.134829689748554,"sonar"
4,"Lasso","auc",0.730769230769231,"sonar"
4,"Lasso","acc",0.571428571428571,"sonar"
4,"Lasso","brier_score",0.187337781926462,"sonar"
5,"Lasso","auc",0.718181818181818,"sonar"
5,"Lasso","acc",0.619047619047619,"sonar"
5,"Lasso","brier_score",0.212495171939579,"sonar"
6,"Lasso","auc",0.781818181818182,"sonar"
6,"Lasso","acc",0.761904761904762,"sonar"
6,"Lasso","brier_score",0.210995893508442,"sonar"
7,"Lasso","auc",0.854545454545454,"sonar"
7,"Lasso","acc",0.761904761904762,"sonar"
7,"Lasso","brier_score",0.158229658816275,"sonar"
8,"Lasso","auc",0.763636363636364,"sonar"
8,"Lasso","acc",0.761904761904762,"sonar"
8,"Lasso","brier_score",0.205796190518265,"sonar"
9,"Lasso","auc",0.88,"sonar"
9,"Lasso","acc",0.85,"sonar"
9,"Lasso","brier_score",0.157496942095307,"sonar"
10,"Lasso","auc",0.979166666666667,"sonar"
10,"Lasso","acc",0.85,"sonar"
10,"Lasso","brier_score",0.142387587402201,"sonar"
