"fold","method","metric","val","dataset"
1,"Ridge","auc",0.787037037037037,"sonar"
1,"Ridge","acc",0.714285714285714,"sonar"
1,"Ridge","brier_score",0.183096068792993,"sonar"
2,"Ridge","auc",0.932692307692308,"sonar"
2,"Ridge","acc",0.857142857142857,"sonar"
2,"Ridge","brier_score",0.150478477113628,"sonar"
3,"Ridge","auc",0.980769230769231,"sonar"
3,"Ridge","acc",0.904761904761905,"sonar"
3,"Ridge","brier_score",0.130096507378242,"sonar"
4,"Ridge","auc",0.769230769230769,"sonar"
4,"Ridge","acc",0.714285714285714,"sonar"
4,"Ridge","brier_score",0.182865104625018,"sonar"
5,"Ridge","auc",0.672727272727273,"sonar"
5,"Ridge","acc",0.619047619047619,"sonar"
5,"Ridge","brier_score",0.241011774192182,"sonar"
6,"Ridge","auc",0.809090909090909,"sonar"
6,"Ridge","acc",0.761904761904762,"sonar"
6,"Ridge","brier_score",0.18462444788458,"sonar"
7,"Ridge","auc",0.9,"sonar"
7,"Ridge","acc",0.80952380952381,"sonar"
7,"Ridge","brier_score",0.133926449648305,"sonar"
8,"Ridge","auc",0.809090909090909,"sonar"
8,"Ridge","acc",0.80952380952381,"sonar"
8,"Ridge","brier_score",0.19814064117825,"sonar"
9,"Ridge","auc",0.9,"sonar"
9,"Ridge","acc",0.85,"sonar"
9,"Ridge","brier_score",0.14361516593735,"sonar"
10,"Ridge","auc",0.989583333333333,"sonar"
10,"Ridge","acc",0.9,"sonar"
10,"Ridge","brier_score",0.137823029633974,"sonar"
