"fold","method","metric","val","dataset"
1,"glm","auc",0.708333333333333,"sonar"
1,"glm","acc",0.619047619047619,"sonar"
1,"glm","brier_score",0.380942361714075,"sonar"
2,"glm","auc",0.793269230769231,"sonar"
2,"glm","acc",0.714285714285714,"sonar"
2,"glm","brier_score",0.285714261081966,"sonar"
3,"glm","auc",0.817307692307692,"sonar"
3,"glm","acc",0.80952380952381,"sonar"
3,"glm","brier_score",0.190476197725201,"sonar"
4,"glm","auc",0.721153846153846,"sonar"
4,"glm","acc",0.714285714285714,"sonar"
4,"glm","brier_score",0.290804224313901,"sonar"
5,"glm","auc",0.545454545454546,"sonar"
5,"glm","acc",0.619047619047619,"sonar"
5,"glm","brier_score",0.381121790380044,"sonar"
6,"glm","auc",0.718181818181818,"sonar"
6,"glm","acc",0.761904761904762,"sonar"
6,"glm","brier_score",0.239242575073444,"sonar"
7,"glm","auc",0.809090909090909,"sonar"
7,"glm","acc",0.80952380952381,"sonar"
7,"glm","brier_score",0.19047619047619,"sonar"
8,"glm","auc",0.7,"sonar"
8,"glm","acc",0.714285714285714,"sonar"
8,"glm","brier_score",0.285714285714286,"sonar"
9,"glm","auc",0.865,"sonar"
9,"glm","acc",0.75,"sonar"
9,"glm","brier_score",0.249999998268121,"sonar"
10,"glm","auc",0.875,"sonar"
10,"glm","acc",0.85,"sonar"
10,"glm","brier_score",0.149999999929239,"sonar"
