"fold","method","metric","val","dataset"
1,"rf","auc",0.953703703703704,"sonar"
1,"rf","acc",0.857142857142857,"sonar"
1,"rf","brier_score",0.12222380952381,"sonar"
2,"rf","auc",0.990384615384615,"sonar"
2,"rf","acc",0.952380952380952,"sonar"
2,"rf","brier_score",0.0965731428571429,"sonar"
3,"rf","auc",0.971153846153846,"sonar"
3,"rf","acc",0.857142857142857,"sonar"
3,"rf","brier_score",0.114295238095238,"sonar"
4,"rf","auc",0.855769230769231,"sonar"
4,"rf","acc",0.761904761904762,"sonar"
4,"rf","brier_score",0.166903428571429,"sonar"
5,"rf","auc",0.936363636363636,"sonar"
5,"rf","acc",0.761904761904762,"sonar"
5,"rf","brier_score",0.132994857142857,"sonar"
6,"rf","auc",0.927272727272727,"sonar"
6,"rf","acc",0.761904761904762,"sonar"
6,"rf","brier_score",0.162705523809524,"sonar"
7,"rf","auc",0.954545454545455,"sonar"
7,"rf","acc",0.857142857142857,"sonar"
7,"rf","brier_score",0.109267238095238,"sonar"
8,"rf","auc",0.963636363636364,"sonar"
8,"rf","acc",0.80952380952381,"sonar"
8,"rf","brier_score",0.124786857142857,"sonar"
9,"rf","auc",0.91,"sonar"
9,"rf","acc",0.8,"sonar"
9,"rf","brier_score",0.125727,"sonar"
10,"rf","auc",1,"sonar"
10,"rf","acc",1,"sonar"
10,"rf","brier_score",0.083632,"sonar"
