"fold","method","metric","val","dataset"
1,"Boosted Stumps","auc",0.983310166415692,"spambase"
1,"Boosted Stumps","acc",0.943600867678959,"spambase"
1,"Boosted Stumps","brier_score",0.0448334699732063,"spambase"
2,"Boosted Stumps","auc",0.988403473091364,"spambase"
2,"Boosted Stumps","acc",0.954347826086957,"spambase"
2,"Boosted Stumps","brier_score",0.0413801117406554,"spambase"
3,"Boosted Stumps","auc",0.97445061436673,"spambase"
3,"Boosted Stumps","acc",0.930434782608696,"spambase"
3,"Boosted Stumps","brier_score",0.0520117222192459,"spambase"
4,"Boosted Stumps","auc",0.974260897282652,"spambase"
4,"Boosted Stumps","acc",0.930434782608696,"spambase"
4,"Boosted Stumps","brier_score",0.0550674462629177,"spambase"
5,"Boosted Stumps","auc",0.987568922305764,"spambase"
5,"Boosted Stumps","acc",0.954347826086957,"spambase"
5,"Boosted Stumps","brier_score",0.0383538228255715,"spambase"
6,"Boosted Stumps","auc",0.972010025062657,"spambase"
6,"Boosted Stumps","acc",0.930434782608696,"spambase"
6,"Boosted Stumps","brier_score",0.0530201352147553,"spambase"
7,"Boosted Stumps","auc",0.983092350746269,"spambase"
7,"Boosted Stumps","acc",0.943478260869565,"spambase"
7,"Boosted Stumps","brier_score",0.0458966231890251,"spambase"
8,"Boosted Stumps","auc",0.982758620689655,"spambase"
8,"Boosted Stumps","acc",0.928260869565217,"spambase"
8,"Boosted Stumps","brier_score",0.0503711979785385,"spambase"
9,"Boosted Stumps","auc",0.974571136045467,"spambase"
9,"Boosted Stumps","acc",0.952173913043478,"spambase"
9,"Boosted Stumps","brier_score",0.0428592674749629,"spambase"
10,"Boosted Stumps","auc",0.989593829935664,"spambase"
10,"Boosted Stumps","acc",0.969565217391304,"spambase"
10,"Boosted Stumps","brier_score",0.0334201599815337,"spambase"
