"fold","method","metric","val","dataset"
1,"CART","auc",0.898683346847369,"spambase"
1,"CART","acc",0.904555314533623,"spambase"
1,"CART","brier_score",0.0863007538158158,"spambase"
2,"CART","auc",0.885159183354193,"spambase"
2,"CART","acc",0.880434782608696,"spambase"
2,"CART","brier_score",0.104682163421625,"spambase"
3,"CART","auc",0.898481805293006,"spambase"
3,"CART","acc",0.897826086956522,"spambase"
3,"CART","brier_score",0.0901642600632142,"spambase"
4,"CART","auc",0.873635349430233,"spambase"
4,"CART","acc",0.876086956521739,"spambase"
4,"CART","brier_score",0.107231498060259,"spambase"
5,"CART","auc",0.887528822055138,"spambase"
5,"CART","acc",0.895652173913044,"spambase"
5,"CART","brier_score",0.0911762403329355,"spambase"
6,"CART","auc",0.87340350877193,"spambase"
6,"CART","acc",0.884782608695652,"spambase"
6,"CART","brier_score",0.102291141923751,"spambase"
7,"CART","auc",0.893812189054726,"spambase"
7,"CART","acc",0.891304347826087,"spambase"
7,"CART","brier_score",0.0965411345693254,"spambase"
8,"CART","auc",0.887448758138413,"spambase"
8,"CART","acc",0.880434782608696,"spambase"
8,"CART","brier_score",0.102960148143401,"spambase"
9,"CART","auc",0.905263377839069,"spambase"
9,"CART","acc",0.902173913043478,"spambase"
9,"CART","brier_score",0.086108101428523,"spambase"
10,"CART","auc",0.914405860010852,"spambase"
10,"CART","acc",0.915217391304348,"spambase"
10,"CART","brier_score",0.076799536730408,"spambase"
