"fold","method","metric","val","dataset"
1,"ElasticNet","auc",0.949187227306074,"spambase"
1,"ElasticNet","acc",0.874186550976139,"spambase"
1,"ElasticNet","brier_score",0.113061755312261,"spambase"
2,"ElasticNet","auc",0.947825406758448,"spambase"
2,"ElasticNet","acc",0.860869565217391,"spambase"
2,"ElasticNet","brier_score",0.112832219503833,"spambase"
3,"ElasticNet","auc",0.942796943919345,"spambase"
3,"ElasticNet","acc",0.880434782608696,"spambase"
3,"ElasticNet","brier_score",0.119921579729118,"spambase"
4,"ElasticNet","auc",0.946768666826042,"spambase"
4,"ElasticNet","acc",0.889130434782609,"spambase"
4,"ElasticNet","brier_score",0.116453762653573,"spambase"
5,"ElasticNet","auc",0.96647619047619,"spambase"
5,"ElasticNet","acc",0.893478260869565,"spambase"
5,"ElasticNet","brier_score",0.123453903324503,"spambase"
6,"ElasticNet","auc",0.942375939849624,"spambase"
6,"ElasticNet","acc",0.88695652173913,"spambase"
6,"ElasticNet","brier_score",0.109151913382823,"spambase"
7,"ElasticNet","auc",0.956856343283582,"spambase"
7,"ElasticNet","acc",0.88695652173913,"spambase"
7,"ElasticNet","brier_score",0.106787427223626,"spambase"
8,"ElasticNet","auc",0.946005144281006,"spambase"
8,"ElasticNet","acc",0.873913043478261,"spambase"
8,"ElasticNet","brier_score",0.112376771713581,"spambase"
9,"ElasticNet","auc",0.944921540358135,"spambase"
9,"ElasticNet","acc",0.891304347826087,"spambase"
9,"ElasticNet","brier_score",0.109112445031443,"spambase"
10,"ElasticNet","auc",0.9730447252151,"spambase"
10,"ElasticNet","acc",0.904347826086957,"spambase"
10,"ElasticNet","brier_score",0.0960902751428503,"spambase"
