"fold","method","metric","val","dataset"
1,"GBM","auc",0.984285107533109,"spambase"
1,"GBM","acc",0.93058568329718,"spambase"
1,"GBM","brier_score",0.0486388391022002,"spambase"
2,"GBM","auc",0.98595901126408,"spambase"
2,"GBM","acc",0.934782608695652,"spambase"
2,"GBM","brier_score",0.0451387449827486,"spambase"
3,"GBM","auc",0.975277646502836,"spambase"
3,"GBM","acc",0.934782608695652,"spambase"
3,"GBM","brier_score",0.0521234959593166,"spambase"
4,"GBM","auc",0.973473981990597,"spambase"
4,"GBM","acc",0.926086956521739,"spambase"
4,"GBM","brier_score",0.0586089025401043,"spambase"
5,"GBM","auc",0.986365914786967,"spambase"
5,"GBM","acc",0.952173913043478,"spambase"
5,"GBM","brier_score",0.0424121977928801,"spambase"
6,"GBM","auc",0.971869674185464,"spambase"
6,"GBM","acc",0.930434782608696,"spambase"
6,"GBM","brier_score",0.0536780414934965,"spambase"
7,"GBM","auc",0.983053482587065,"spambase"
7,"GBM","acc",0.939130434782609,"spambase"
7,"GBM","brier_score",0.0488236455487066,"spambase"
8,"GBM","auc",0.980266859577204,"spambase"
8,"GBM","acc",0.921739130434783,"spambase"
8,"GBM","brier_score",0.0542847283076099,"spambase"
9,"GBM","auc",0.97669194926764,"spambase"
9,"GBM","acc",0.95,"spambase"
9,"GBM","brier_score",0.0431227172937561,"spambase"
10,"GBM","auc",0.989264398108674,"spambase"
10,"GBM","acc",0.967391304347826,"spambase"
10,"GBM","brier_score",0.0356241250604347,"spambase"
