"fold","method","metric","val","dataset"
1,"Lasso","auc",0.949032781188463,"spambase"
1,"Lasso","acc",0.874186550976139,"spambase"
1,"Lasso","brier_score",0.113068586079753,"spambase"
2,"Lasso","auc",0.947551627033792,"spambase"
2,"Lasso","acc",0.860869565217391,"spambase"
2,"Lasso","brier_score",0.112980423778614,"spambase"
3,"Lasso","auc",0.94281663516068,"spambase"
3,"Lasso","acc",0.880434782608696,"spambase"
3,"Lasso","brier_score",0.120018012302317,"spambase"
4,"Lasso","auc",0.946908120168938,"spambase"
4,"Lasso","acc",0.891304347826087,"spambase"
4,"Lasso","brier_score",0.116399610581252,"spambase"
5,"Lasso","auc",0.96653634085213,"spambase"
5,"Lasso","acc",0.895652173913044,"spambase"
5,"Lasso","brier_score",0.123387748495439,"spambase"
6,"Lasso","auc",0.942215538847118,"spambase"
6,"Lasso","acc",0.884782608695652,"spambase"
6,"Lasso","brier_score",0.109038962774241,"spambase"
7,"Lasso","auc",0.956389925373134,"spambase"
7,"Lasso","acc",0.88695652173913,"spambase"
7,"Lasso","brier_score",0.106930497553155,"spambase"
8,"Lasso","auc",0.946065428824049,"spambase"
8,"Lasso","acc",0.876086956521739,"spambase"
8,"Lasso","brier_score",0.112441120431275,"spambase"
9,"Lasso","auc",0.945067803338975,"spambase"
9,"Lasso","acc",0.891304347826087,"spambase"
9,"Lasso","brier_score",0.109000243892226,"spambase"
10,"Lasso","auc",0.972773428416402,"spambase"
10,"Lasso","acc",0.902173913043478,"spambase"
10,"Lasso","brier_score",0.0961621041590073,"spambase"
