"fold","method","metric","val","dataset"
1,"Ridge","auc",0.947874435306382,"spambase"
1,"Ridge","acc",0.878524945770065,"spambase"
1,"Ridge","brier_score",0.113093503086842,"spambase"
2,"Ridge","auc",0.948627190237797,"spambase"
2,"Ridge","acc",0.865217391304348,"spambase"
2,"Ridge","brier_score",0.112182942555165,"spambase"
3,"Ridge","auc",0.94258034026465,"spambase"
3,"Ridge","acc",0.878260869565217,"spambase"
3,"Ridge","brier_score",0.119859691841955,"spambase"
4,"Ridge","auc",0.947764762132441,"spambase"
4,"Ridge","acc",0.88695652173913,"spambase"
4,"Ridge","brier_score",0.115177435620087,"spambase"
5,"Ridge","auc",0.965954887218045,"spambase"
5,"Ridge","acc",0.889130434782609,"spambase"
5,"Ridge","brier_score",0.121030729699273,"spambase"
6,"Ridge","auc",0.942436090225564,"spambase"
6,"Ridge","acc",0.884782608695652,"spambase"
6,"Ridge","brier_score",0.108800678372046,"spambase"
7,"Ridge","auc",0.95712842039801,"spambase"
7,"Ridge","acc",0.88695652173913,"spambase"
7,"Ridge","brier_score",0.107575173026782,"spambase"
8,"Ridge","auc",0.94644723092999,"spambase"
8,"Ridge","acc",0.871739130434783,"spambase"
8,"Ridge","brier_score",0.111526922287069,"spambase"
9,"Ridge","auc",0.944524540838714,"spambase"
9,"Ridge","acc",0.891304347826087,"spambase"
9,"Ridge","brier_score",0.1083713365943,"spambase"
10,"Ridge","auc",0.973160995271684,"spambase"
10,"Ridge","acc",0.904347826086957,"spambase"
10,"Ridge","brier_score",0.0963178087750436,"spambase"
