"fold","method","metric","val","dataset"
1,"glm","auc",0.972798177535812,"spambase"
1,"glm","acc",0.926247288503254,"spambase"
1,"glm","brier_score",0.061557676652767,"spambase"
2,"glm","auc",0.971135794743429,"spambase"
2,"glm","acc",0.915217391304348,"spambase"
2,"glm","brier_score",0.0636952314319219,"spambase"
3,"glm","auc",0.959987397605545,"spambase"
3,"glm","acc",0.917391304347826,"spambase"
3,"glm","brier_score",0.0708325782431072,"spambase"
4,"glm","auc",0.954588014981273,"spambase"
4,"glm","acc",0.910869565217391,"spambase"
4,"glm","brier_score",0.0711480945131076,"spambase"
5,"glm","auc",0.983298245614035,"spambase"
5,"glm","acc",0.945652173913043,"spambase"
5,"glm","brier_score",0.0430119732888979,"spambase"
6,"glm","auc",0.966416040100251,"spambase"
6,"glm","acc",0.921739130434783,"spambase"
6,"glm","brier_score",0.0638337885002177,"spambase"
7,"glm","auc",0.981634794776119,"spambase"
7,"glm","acc",0.930434782608696,"spambase"
7,"glm","brier_score",0.0492661189521107,"spambase"
8,"glm","auc",0.974198215577526,"spambase"
8,"glm","acc",0.919565217391304,"spambase"
8,"glm","brier_score",0.0616273445402543,"spambase"
9,"glm","auc",0.971833928832612,"spambase"
9,"glm","acc",0.932608695652174,"spambase"
9,"glm","brier_score",0.0584349794275199,"spambase"
10,"glm","auc",0.97886791721572,"spambase"
10,"glm","acc",0.947826086956522,"spambase"
10,"glm","brier_score",0.0450298833106586,"spambase"
