"fold","method","metric","val","dataset"
1,"rf","auc",0.989613498590679,"spambase"
1,"rf","acc",0.950108459869848,"spambase"
1,"rf","brier_score",0.0390597136659436,"spambase"
2,"rf","auc",0.992627503128911,"spambase"
2,"rf","acc",0.947826086956522,"spambase"
2,"rf","brier_score",0.036955852173913,"spambase"
3,"rf","auc",0.987564981096408,"spambase"
3,"rf","acc",0.95,"spambase"
3,"rf","brier_score",0.0409180608695652,"spambase"
4,"rf","auc",0.975585704040163,"spambase"
4,"rf","acc",0.934782608695652,"spambase"
4,"rf","brier_score",0.0501788869565217,"spambase"
5,"rf","auc",0.992190476190476,"spambase"
5,"rf","acc",0.965217391304348,"spambase"
5,"rf","brier_score",0.0318018695652174,"spambase"
6,"rf","auc",0.972050125313283,"spambase"
6,"rf","acc",0.952173913043478,"spambase"
6,"rf","brier_score",0.0442603565217391,"spambase"
7,"rf","auc",0.988825404228856,"spambase"
7,"rf","acc",0.947826086956522,"spambase"
7,"rf","brier_score",0.0377904260869565,"spambase"
8,"rf","auc",0.985853227232538,"spambase"
8,"rf","acc",0.947826086956522,"spambase"
8,"rf","brier_score",0.042412947826087,"spambase"
9,"rf","auc",0.98761988340751,"spambase"
9,"rf","acc",0.967391304347826,"spambase"
9,"rf","brier_score",0.0329740869565217,"spambase"
10,"rf","auc",0.991928920238741,"spambase"
10,"rf","acc",0.973913043478261,"spambase"
10,"rf","brier_score",0.0303076782608696,"spambase"
