"fold","method","metric","val","dataset"
1,"Boosted Stumps","auc",0.972972972972973,"wbdc"
1,"Boosted Stumps","acc",0.929824561403509,"wbdc"
1,"Boosted Stumps","brier_score",0.0442097076855266,"wbdc"
2,"Boosted Stumps","auc",1,"wbdc"
2,"Boosted Stumps","acc",1,"wbdc"
2,"Boosted Stumps","brier_score",0.00439207253120517,"wbdc"
3,"Boosted Stumps","auc",0.997229916897507,"wbdc"
3,"Boosted Stumps","acc",0.964912280701754,"wbdc"
3,"Boosted Stumps","brier_score",0.0184830155170281,"wbdc"
4,"Boosted Stumps","auc",0.993686868686869,"wbdc"
4,"Boosted Stumps","acc",0.947368421052632,"wbdc"
4,"Boosted Stumps","brier_score",0.032481373591373,"wbdc"
5,"Boosted Stumps","auc",1,"wbdc"
5,"Boosted Stumps","acc",0.982456140350877,"wbdc"
5,"Boosted Stumps","brier_score",0.0123882307453396,"wbdc"
6,"Boosted Stumps","auc",1,"wbdc"
6,"Boosted Stumps","acc",1,"wbdc"
6,"Boosted Stumps","brier_score",0.0027287133525199,"wbdc"
7,"Boosted Stumps","auc",0.983375959079284,"wbdc"
7,"Boosted Stumps","acc",0.929824561403509,"wbdc"
7,"Boosted Stumps","brier_score",0.049086037446136,"wbdc"
8,"Boosted Stumps","auc",0.988095238095238,"wbdc"
8,"Boosted Stumps","acc",0.947368421052632,"wbdc"
8,"Boosted Stumps","brier_score",0.0309880843286874,"wbdc"
9,"Boosted Stumps","auc",1,"wbdc"
9,"Boosted Stumps","acc",0.964912280701754,"wbdc"
9,"Boosted Stumps","brier_score",0.0139527974484535,"wbdc"
10,"Boosted Stumps","auc",0.993966817496229,"wbdc"
10,"Boosted Stumps","acc",0.964285714285714,"wbdc"
10,"Boosted Stumps","brier_score",0.0410242102847913,"wbdc"
