"fold","method","metric","val","dataset"
1,"CART","auc",0.968243243243243,"wbdc"
1,"CART","acc",0.947368421052632,"wbdc"
1,"CART","brier_score",0.0479604611399103,"wbdc"
2,"CART","auc",0.939705882352941,"wbdc"
2,"CART","acc",0.929824561403509,"wbdc"
2,"CART","brier_score",0.0692169971982494,"wbdc"
3,"CART","auc",0.957756232686981,"wbdc"
3,"CART","acc",0.964912280701754,"wbdc"
3,"CART","brier_score",0.0391663739626464,"wbdc"
4,"CART","auc",0.956439393939394,"wbdc"
4,"CART","acc",0.929824561403509,"wbdc"
4,"CART","brier_score",0.0633950513757858,"wbdc"
5,"CART","auc",0.961206896551724,"wbdc"
5,"CART","acc",0.894736842105263,"wbdc"
5,"CART","brier_score",0.0638978201070699,"wbdc"
6,"CART","auc",0.932539682539683,"wbdc"
6,"CART","acc",0.947368421052632,"wbdc"
6,"CART","brier_score",0.0523467089193866,"wbdc"
7,"CART","auc",0.944373401534527,"wbdc"
7,"CART","acc",0.929824561403509,"wbdc"
7,"CART","brier_score",0.0645981015113436,"wbdc"
8,"CART","auc",0.974867724867725,"wbdc"
8,"CART","acc",0.982456140350877,"wbdc"
8,"CART","brier_score",0.0200783976097014,"wbdc"
9,"CART","auc",0.998701298701299,"wbdc"
9,"CART","acc",0.982456140350877,"wbdc"
9,"CART","brier_score",0.0162382137308418,"wbdc"
10,"CART","auc",0.965309200603318,"wbdc"
10,"CART","acc",0.928571428571429,"wbdc"
10,"CART","brier_score",0.0625355411226416,"wbdc"
