"fold","method","metric","val","dataset"
1,"ElasticNet","auc",0.986486486486487,"wbdc"
1,"ElasticNet","acc",0.964912280701754,"wbdc"
1,"ElasticNet","brier_score",0.0708494047788657,"wbdc"
2,"ElasticNet","auc",1,"wbdc"
2,"ElasticNet","acc",0.964912280701754,"wbdc"
2,"ElasticNet","brier_score",0.0450981073226739,"wbdc"
3,"ElasticNet","auc",0.980609418282548,"wbdc"
3,"ElasticNet","acc",0.982456140350877,"wbdc"
3,"ElasticNet","brier_score",0.0670754927559098,"wbdc"
4,"ElasticNet","auc",0.986111111111111,"wbdc"
4,"ElasticNet","acc",0.929824561403509,"wbdc"
4,"ElasticNet","brier_score",0.0588123496977854,"wbdc"
5,"ElasticNet","auc",0.998768472906404,"wbdc"
5,"ElasticNet","acc",0.947368421052632,"wbdc"
5,"ElasticNet","brier_score",0.0549400402994469,"wbdc"
6,"ElasticNet","auc",1,"wbdc"
6,"ElasticNet","acc",0.982456140350877,"wbdc"
6,"ElasticNet","brier_score",0.0554039874892241,"wbdc"
7,"ElasticNet","auc",0.993606138107417,"wbdc"
7,"ElasticNet","acc",0.964912280701754,"wbdc"
7,"ElasticNet","brier_score",0.0536417476663149,"wbdc"
8,"ElasticNet","auc",0.996031746031746,"wbdc"
8,"ElasticNet","acc",0.964912280701754,"wbdc"
8,"ElasticNet","brier_score",0.0608362094240406,"wbdc"
9,"ElasticNet","auc",1,"wbdc"
9,"ElasticNet","acc",0.964912280701754,"wbdc"
9,"ElasticNet","brier_score",0.0528249085036221,"wbdc"
10,"ElasticNet","auc",0.995475113122172,"wbdc"
10,"ElasticNet","acc",0.946428571428571,"wbdc"
10,"ElasticNet","brier_score",0.0744851046442529,"wbdc"
