"fold","method","metric","val","dataset"
1,"GBM","auc",0.975675675675676,"wbdc"
1,"GBM","acc",0.947368421052632,"wbdc"
1,"GBM","brier_score",0.0435889287733805,"wbdc"
2,"GBM","auc",0.998529411764706,"wbdc"
2,"GBM","acc",0.982456140350877,"wbdc"
2,"GBM","brier_score",0.0158403656346441,"wbdc"
3,"GBM","auc",0.994459833795014,"wbdc"
3,"GBM","acc",0.947368421052632,"wbdc"
3,"GBM","brier_score",0.0262918702705313,"wbdc"
4,"GBM","auc",0.992424242424242,"wbdc"
4,"GBM","acc",0.947368421052632,"wbdc"
4,"GBM","brier_score",0.0351852726905747,"wbdc"
5,"GBM","auc",0.998768472906404,"wbdc"
5,"GBM","acc",0.964912280701754,"wbdc"
5,"GBM","brier_score",0.0176598252476982,"wbdc"
6,"GBM","auc",1,"wbdc"
6,"GBM","acc",1,"wbdc"
6,"GBM","brier_score",0.00713962215687645,"wbdc"
7,"GBM","auc",0.985933503836317,"wbdc"
7,"GBM","acc",0.947368421052632,"wbdc"
7,"GBM","brier_score",0.0422800600917186,"wbdc"
8,"GBM","auc",0.978835978835979,"wbdc"
8,"GBM","acc",0.964912280701754,"wbdc"
8,"GBM","brier_score",0.0272175342495299,"wbdc"
9,"GBM","auc",1,"wbdc"
9,"GBM","acc",0.964912280701754,"wbdc"
9,"GBM","brier_score",0.0132233253046463,"wbdc"
10,"GBM","auc",0.990950226244344,"wbdc"
10,"GBM","acc",0.946428571428571,"wbdc"
10,"GBM","brier_score",0.047354450064545,"wbdc"
