"fold","method","metric","val","dataset"
1,"Lasso","auc",0.986486486486487,"wbdc"
1,"Lasso","acc",0.964912280701754,"wbdc"
1,"Lasso","brier_score",0.0706602316117671,"wbdc"
2,"Lasso","auc",1,"wbdc"
2,"Lasso","acc",0.964912280701754,"wbdc"
2,"Lasso","brier_score",0.0451241420578678,"wbdc"
3,"Lasso","auc",0.980609418282548,"wbdc"
3,"Lasso","acc",0.982456140350877,"wbdc"
3,"Lasso","brier_score",0.064577146540791,"wbdc"
4,"Lasso","auc",0.98989898989899,"wbdc"
4,"Lasso","acc",0.929824561403509,"wbdc"
4,"Lasso","brier_score",0.0588608992505426,"wbdc"
5,"Lasso","auc",0.998768472906404,"wbdc"
5,"Lasso","acc",0.947368421052632,"wbdc"
5,"Lasso","brier_score",0.0550441339457472,"wbdc"
6,"Lasso","auc",1,"wbdc"
6,"Lasso","acc",0.982456140350877,"wbdc"
6,"Lasso","brier_score",0.0546304587351307,"wbdc"
7,"Lasso","auc",0.993606138107417,"wbdc"
7,"Lasso","acc",0.964912280701754,"wbdc"
7,"Lasso","brier_score",0.0529659229970189,"wbdc"
8,"Lasso","auc",0.996031746031746,"wbdc"
8,"Lasso","acc",0.964912280701754,"wbdc"
8,"Lasso","brier_score",0.0602309044092544,"wbdc"
9,"Lasso","auc",1,"wbdc"
9,"Lasso","acc",0.964912280701754,"wbdc"
9,"Lasso","brier_score",0.0525057740111265,"wbdc"
10,"Lasso","auc",0.996983408748115,"wbdc"
10,"Lasso","acc",0.946428571428571,"wbdc"
10,"Lasso","brier_score",0.0730745701128894,"wbdc"
