"fold","method","metric","val","dataset"
1,"Ridge","auc",0.977027027027027,"wbdc"
1,"Ridge","acc",0.947368421052632,"wbdc"
1,"Ridge","brier_score",0.0716371555444538,"wbdc"
2,"Ridge","auc",1,"wbdc"
2,"Ridge","acc",0.947368421052632,"wbdc"
2,"Ridge","brier_score",0.0461485134129576,"wbdc"
3,"Ridge","auc",0.980609418282548,"wbdc"
3,"Ridge","acc",0.982456140350877,"wbdc"
3,"Ridge","brier_score",0.0626369089088163,"wbdc"
4,"Ridge","auc",0.991161616161616,"wbdc"
4,"Ridge","acc",0.947368421052632,"wbdc"
4,"Ridge","brier_score",0.0594518318938757,"wbdc"
5,"Ridge","auc",0.997536945812808,"wbdc"
5,"Ridge","acc",0.964912280701754,"wbdc"
5,"Ridge","brier_score",0.0551529756938882,"wbdc"
6,"Ridge","auc",1,"wbdc"
6,"Ridge","acc",0.982456140350877,"wbdc"
6,"Ridge","brier_score",0.0613474258449972,"wbdc"
7,"Ridge","auc",0.989769820971867,"wbdc"
7,"Ridge","acc",0.947368421052632,"wbdc"
7,"Ridge","brier_score",0.0660495212893532,"wbdc"
8,"Ridge","auc",0.994708994708995,"wbdc"
8,"Ridge","acc",0.947368421052632,"wbdc"
8,"Ridge","brier_score",0.0647671548773819,"wbdc"
9,"Ridge","auc",1,"wbdc"
9,"Ridge","acc",0.964912280701754,"wbdc"
9,"Ridge","brier_score",0.0534840553675902,"wbdc"
10,"Ridge","auc",0.995475113122172,"wbdc"
10,"Ridge","acc",0.928571428571429,"wbdc"
10,"Ridge","brier_score",0.0788780558002845,"wbdc"
