"fold","method","metric","val","dataset"
1,"glm","auc",0.958108108108108,"wbdc"
1,"glm","acc",0.947368421052632,"wbdc"
1,"glm","brier_score",0.0525573407378962,"wbdc"
2,"glm","auc",0.958088235294118,"wbdc"
2,"glm","acc",0.964912280701754,"wbdc"
2,"glm","brier_score",0.0350877192982456,"wbdc"
3,"glm","auc",0.986842105263158,"wbdc"
3,"glm","acc",0.964912280701754,"wbdc"
3,"glm","brier_score",0.0350856489086527,"wbdc"
4,"glm","auc",0.92550505050505,"wbdc"
4,"glm","acc",0.912280701754386,"wbdc"
4,"glm","brier_score",0.0877192984190765,"wbdc"
5,"glm","auc",0.982142857142857,"wbdc"
5,"glm","acc",0.982456140350877,"wbdc"
5,"glm","brier_score",0.0175438596491228,"wbdc"
6,"glm","auc",0.962301587301587,"wbdc"
6,"glm","acc",0.964912280701754,"wbdc"
6,"glm","brier_score",0.0350877192982456,"wbdc"
7,"glm","auc",0.956521739130435,"wbdc"
7,"glm","acc",0.964912280701754,"wbdc"
7,"glm","brier_score",0.0350877192982456,"wbdc"
8,"glm","auc",0.975529100529101,"wbdc"
8,"glm","acc",0.982456140350877,"wbdc"
8,"glm","brier_score",0.0175440240972012,"wbdc"
9,"glm","auc",0.971428571428571,"wbdc"
9,"glm","acc",0.964912280701754,"wbdc"
9,"glm","brier_score",0.0350877192982456,"wbdc"
10,"glm","auc",0.944193061840121,"wbdc"
10,"glm","acc",0.946428571428571,"wbdc"
10,"glm","brier_score",0.0535714285714935,"wbdc"
