"fold","method","metric","val","dataset"
1,"rf","auc",0.983783783783784,"wbdc"
1,"rf","acc",0.964912280701754,"wbdc"
1,"rf","brier_score",0.0447903859649123,"wbdc"
2,"rf","auc",0.995588235294118,"wbdc"
2,"rf","acc",0.964912280701754,"wbdc"
2,"rf","brier_score",0.0291371929824561,"wbdc"
3,"rf","auc",0.998614958448753,"wbdc"
3,"rf","acc",0.964912280701754,"wbdc"
3,"rf","brier_score",0.0191741754385965,"wbdc"
4,"rf","auc",0.993686868686869,"wbdc"
4,"rf","acc",0.947368421052632,"wbdc"
4,"rf","brier_score",0.0374249824561404,"wbdc"
5,"rf","auc",0.997536945812808,"wbdc"
5,"rf","acc",0.964912280701754,"wbdc"
5,"rf","brier_score",0.0254525614035088,"wbdc"
6,"rf","auc",1,"wbdc"
6,"rf","acc",0.982456140350877,"wbdc"
6,"rf","brier_score",0.0167704561403509,"wbdc"
7,"rf","auc",0.986572890025575,"wbdc"
7,"rf","acc",0.947368421052632,"wbdc"
7,"rf","brier_score",0.0393612631578947,"wbdc"
8,"rf","auc",0.957010582010582,"wbdc"
8,"rf","acc",0.964912280701754,"wbdc"
8,"rf","brier_score",0.0327111578947368,"wbdc"
9,"rf","auc",1,"wbdc"
9,"rf","acc",0.982456140350877,"wbdc"
9,"rf","brier_score",0.0136860350877193,"wbdc"
10,"rf","auc",0.993966817496229,"wbdc"
10,"rf","acc",0.946428571428571,"wbdc"
10,"rf","brier_score",0.0464597857142857,"wbdc"
