"fold","method","metric","val","dataset"
1,"Boosted Stumps","auc",0.98258559622196,"wilt"
1,"Boosted Stumps","acc",0.985537190082645,"wilt"
1,"Boosted Stumps","brier_score",0.0122582223253489,"wilt"
2,"Boosted Stumps","auc",0.991409352459681,"wilt"
2,"Boosted Stumps","acc",0.977272727272727,"wilt"
2,"Boosted Stumps","brier_score",0.017785069636963,"wilt"
3,"Boosted Stumps","auc",0.990528207964602,"wilt"
3,"Boosted Stumps","acc",0.971074380165289,"wilt"
3,"Boosted Stumps","brier_score",0.0230198996645465,"wilt"
4,"Boosted Stumps","auc",0.987771739130435,"wilt"
4,"Boosted Stumps","acc",0.977272727272727,"wilt"
4,"Boosted Stumps","brier_score",0.015531862596351,"wilt"
5,"Boosted Stumps","auc",0.997554347826087,"wilt"
5,"Boosted Stumps","acc",0.983471074380165,"wilt"
5,"Boosted Stumps","brier_score",0.0133949349568346,"wilt"
6,"Boosted Stumps","auc",0.98453267943035,"wilt"
6,"Boosted Stumps","acc",0.96900826446281,"wilt"
6,"Boosted Stumps","brier_score",0.0210608673397826,"wilt"
7,"Boosted Stumps","auc",0.986379977876106,"wilt"
7,"Boosted Stumps","acc",0.960743801652893,"wilt"
7,"Boosted Stumps","brier_score",0.0228459161983669,"wilt"
8,"Boosted Stumps","auc",0.99117089806745,"wilt"
8,"Boosted Stumps","acc",0.973140495867769,"wilt"
8,"Boosted Stumps","brier_score",0.0192660799108162,"wilt"
9,"Boosted Stumps","auc",0.992934782608696,"wilt"
9,"Boosted Stumps","acc",0.985537190082645,"wilt"
9,"Boosted Stumps","brier_score",0.0135748559205702,"wilt"
10,"Boosted Stumps","auc",0.994961873638344,"wilt"
10,"Boosted Stumps","acc",0.975155279503106,"wilt"
10,"Boosted Stumps","brier_score",0.0149494954741523,"wilt"
