"fold","method","metric","val","dataset"
1,"CART","auc",0.974124360487997,"wilt"
1,"CART","acc",0.991735537190083,"wilt"
1,"CART","brier_score",0.00806207410564749,"wilt"
2,"CART","auc",0.980954696490802,"wilt"
2,"CART","acc",0.971074380165289,"wilt"
2,"CART","brier_score",0.0220317859382466,"wilt"
3,"CART","auc",0.932003595132743,"wilt"
3,"CART","acc",0.971074380165289,"wilt"
3,"CART","brier_score",0.0273206753865953,"wilt"
4,"CART","auc",0.949954710144928,"wilt"
4,"CART","acc",0.977272727272727,"wilt"
4,"CART","brier_score",0.0185434673548484,"wilt"
5,"CART","auc",0.994972826086957,"wilt"
5,"CART","acc",0.989669421487603,"wilt"
5,"CART","brier_score",0.00904406566200386,"wilt"
6,"CART","auc",0.932330472507781,"wilt"
6,"CART","acc",0.966942148760331,"wilt"
6,"CART","brier_score",0.0259323502392191,"wilt"
7,"CART","auc",0.937016039823009,"wilt"
7,"CART","acc",0.96900826446281,"wilt"
7,"CART","brier_score",0.0254690481601791,"wilt"
8,"CART","auc",0.900075786282683,"wilt"
8,"CART","acc",0.973140495867769,"wilt"
8,"CART","brier_score",0.0243920469731821,"wilt"
9,"CART","auc",0.96838768115942,"wilt"
9,"CART","acc",0.983471074380165,"wilt"
9,"CART","brier_score",0.0126996945192158,"wilt"
10,"CART","auc",0.986292665214234,"wilt"
10,"CART","acc",0.979296066252588,"wilt"
10,"CART","brier_score",0.0172126159929645,"wilt"
