"fold","method","metric","val","dataset"
1,"ElasticNet","auc",0.963695395513577,"wilt"
1,"ElasticNet","acc",0.948347107438017,"wilt"
1,"ElasticNet","brier_score",0.0386550294771226,"wilt"
2,"ElasticNet","auc",0.977712942702002,"wilt"
2,"ElasticNet","acc",0.942148760330578,"wilt"
2,"ElasticNet","brier_score",0.0432407400014398,"wilt"
3,"ElasticNet","auc",0.966399336283186,"wilt"
3,"ElasticNet","acc",0.933884297520661,"wilt"
3,"ElasticNet","brier_score",0.0515814493203551,"wilt"
4,"ElasticNet","auc",0.979076086956522,"wilt"
4,"ElasticNet","acc",0.946280991735537,"wilt"
4,"ElasticNet","brier_score",0.0408256234370677,"wilt"
5,"ElasticNet","auc",0.969474637681159,"wilt"
5,"ElasticNet","acc",0.944214876033058,"wilt"
5,"ElasticNet","brier_score",0.0400411569793915,"wilt"
6,"ElasticNet","auc",0.975384325190984,"wilt"
6,"ElasticNet","acc",0.948347107438017,"wilt"
6,"ElasticNet","brier_score",0.0386657289870347,"wilt"
7,"ElasticNet","auc",0.965154867256637,"wilt"
7,"ElasticNet","acc",0.933884297520661,"wilt"
7,"ElasticNet","brier_score",0.0506884702855055,"wilt"
8,"ElasticNet","auc",0.967336112163698,"wilt"
8,"ElasticNet","acc",0.940082644628099,"wilt"
8,"ElasticNet","brier_score",0.0461436646693429,"wilt"
9,"ElasticNet","auc",0.973822463768116,"wilt"
9,"ElasticNet","acc",0.950413223140496,"wilt"
9,"ElasticNet","brier_score",0.0423118989105457,"wilt"
10,"ElasticNet","auc",0.962418300653595,"wilt"
10,"ElasticNet","acc",0.939958592132505,"wilt"
10,"ElasticNet","brier_score",0.0434436213297404,"wilt"
