"fold","method","metric","val","dataset"
1,"GBM","auc",0.970188902007084,"wilt"
1,"GBM","acc",0.987603305785124,"wilt"
1,"GBM","brier_score",0.0095240923544629,"wilt"
2,"GBM","auc",0.99448901855904,"wilt"
2,"GBM","acc",0.977272727272727,"wilt"
2,"GBM","brier_score",0.013865293723686,"wilt"
3,"GBM","auc",0.994123340707965,"wilt"
3,"GBM","acc",0.973140495867769,"wilt"
3,"GBM","brier_score",0.0196505434650497,"wilt"
4,"GBM","auc",0.992028985507246,"wilt"
4,"GBM","acc",0.983471074380165,"wilt"
4,"GBM","brier_score",0.0123798341459229,"wilt"
5,"GBM","auc",0.998278985507246,"wilt"
5,"GBM","acc",0.983471074380165,"wilt"
5,"GBM","brier_score",0.0100736072400584,"wilt"
6,"GBM","auc",0.988871074224276,"wilt"
6,"GBM","acc",0.975206611570248,"wilt"
6,"GBM","brier_score",0.019415856796408,"wilt"
7,"GBM","auc",0.976769911504425,"wilt"
7,"GBM","acc",0.971074380165289,"wilt"
7,"GBM","brier_score",0.0208672180692657,"wilt"
8,"GBM","auc",0.988480485032209,"wilt"
8,"GBM","acc",0.975206611570248,"wilt"
8,"GBM","brier_score",0.016816361354721,"wilt"
9,"GBM","auc",0.986820652173913,"wilt"
9,"GBM","acc",0.989669421487603,"wilt"
9,"GBM","brier_score",0.0105677467709274,"wilt"
10,"GBM","auc",0.997004357298475,"wilt"
10,"GBM","acc",0.979296066252588,"wilt"
10,"GBM","brier_score",0.012642622213327,"wilt"
