"fold","method","metric","val","dataset"
1,"Lasso","auc",0.963597009051555,"wilt"
1,"Lasso","acc",0.948347107438017,"wilt"
1,"Lasso","brier_score",0.038592225237631,"wilt"
2,"Lasso","auc",0.977712942702002,"wilt"
2,"Lasso","acc",0.942148760330578,"wilt"
2,"Lasso","brier_score",0.0431820767843194,"wilt"
3,"Lasso","auc",0.966468473451327,"wilt"
3,"Lasso","acc",0.933884297520661,"wilt"
3,"Lasso","brier_score",0.0515815084049252,"wilt"
4,"Lasso","auc",0.979528985507246,"wilt"
4,"Lasso","acc",0.946280991735537,"wilt"
4,"Lasso","brier_score",0.0408789276264174,"wilt"
5,"Lasso","auc",0.969474637681159,"wilt"
5,"Lasso","acc",0.944214876033058,"wilt"
5,"Lasso","brier_score",0.0400382711921533,"wilt"
6,"Lasso","auc",0.975007073469773,"wilt"
6,"Lasso","acc",0.948347107438017,"wilt"
6,"Lasso","brier_score",0.0386659127336029,"wilt"
7,"Lasso","auc",0.965224004424779,"wilt"
7,"Lasso","acc",0.931818181818182,"wilt"
7,"Lasso","brier_score",0.0506607996604872,"wilt"
8,"Lasso","auc",0.967411898446381,"wilt"
8,"Lasso","acc",0.940082644628099,"wilt"
8,"Lasso","brier_score",0.046119185323717,"wilt"
9,"Lasso","auc",0.974003623188406,"wilt"
9,"Lasso","acc",0.950413223140496,"wilt"
9,"Lasso","brier_score",0.0423613461112856,"wilt"
10,"Lasso","auc",0.962599854756717,"wilt"
10,"Lasso","acc",0.939958592132505,"wilt"
10,"Lasso","brier_score",0.0434565357938861,"wilt"
