"fold","method","metric","val","dataset"
1,"Ridge","auc",0.953463203463203,"wilt"
1,"Ridge","acc",0.954545454545455,"wilt"
1,"Ridge","brier_score",0.038259962397576,"wilt"
2,"Ridge","auc",0.970986303590242,"wilt"
2,"Ridge","acc",0.944214876033058,"wilt"
2,"Ridge","brier_score",0.0447653077426649,"wilt"
3,"Ridge","auc",0.95139657079646,"wilt"
3,"Ridge","acc",0.933884297520661,"wilt"
3,"Ridge","brier_score",0.0533306410119625,"wilt"
4,"Ridge","auc",0.975090579710145,"wilt"
4,"Ridge","acc",0.946280991735537,"wilt"
4,"Ridge","brier_score",0.0408263959282086,"wilt"
5,"Ridge","auc",0.963224637681159,"wilt"
5,"Ridge","acc",0.950413223140496,"wilt"
5,"Ridge","brier_score",0.0406467213187552,"wilt"
6,"Ridge","auc",0.97217768556069,"wilt"
6,"Ridge","acc",0.952479338842975,"wilt"
6,"Ridge","brier_score",0.0391145196669275,"wilt"
7,"Ridge","auc",0.959831305309734,"wilt"
7,"Ridge","acc",0.933884297520661,"wilt"
7,"Ridge","brier_score",0.0520757991157305,"wilt"
8,"Ridge","auc",0.959530125047366,"wilt"
8,"Ridge","acc",0.940082644628099,"wilt"
8,"Ridge","brier_score",0.0479350057307495,"wilt"
9,"Ridge","auc",0.965670289855073,"wilt"
9,"Ridge","acc",0.950413223140496,"wilt"
9,"Ridge","brier_score",0.0418797766322144,"wilt"
10,"Ridge","auc",0.961873638344227,"wilt"
10,"Ridge","acc",0.946169772256729,"wilt"
10,"Ridge","brier_score",0.0417759317985448,"wilt"
