"fold","method","metric","val","dataset"
1,"glm","auc",0.946674537583629,"wilt"
1,"glm","acc",0.975206611570248,"wilt"
1,"glm","brier_score",0.0204699267855509,"wilt"
2,"glm","auc",0.985736283329281,"wilt"
2,"glm","acc",0.973140495867769,"wilt"
2,"glm","brier_score",0.0223621452677764,"wilt"
3,"glm","auc",0.975732853982301,"wilt"
3,"glm","acc",0.958677685950413,"wilt"
3,"glm","brier_score",0.0305098581445178,"wilt"
4,"glm","auc",0.984782608695652,"wilt"
4,"glm","acc",0.971074380165289,"wilt"
4,"glm","brier_score",0.0233053642531143,"wilt"
5,"glm","auc",0.974094202898551,"wilt"
5,"glm","acc",0.96900826446281,"wilt"
5,"glm","brier_score",0.0232175177254736,"wilt"
6,"glm","auc",0.983966801848533,"wilt"
6,"glm","acc",0.96900826446281,"wilt"
6,"glm","brier_score",0.0223634412034881,"wilt"
7,"glm","auc",0.971308075221239,"wilt"
7,"glm","acc",0.956611570247934,"wilt"
7,"glm","brier_score",0.0330409848883136,"wilt"
8,"glm","auc",0.985221674876847,"wilt"
8,"glm","acc",0.971074380165289,"wilt"
8,"glm","brier_score",0.0226512102178361,"wilt"
9,"glm","auc",0.980615942028985,"wilt"
9,"glm","acc",0.977272727272727,"wilt"
9,"glm","brier_score",0.0191928143796931,"wilt"
10,"glm","auc",0.981299927378359,"wilt"
10,"glm","acc",0.968944099378882,"wilt"
10,"glm","brier_score",0.023532655588868,"wilt"
