"fold","method","metric","val","dataset"
1,"rf","auc",0.96098976780795,"wilt"
1,"rf","acc",0.989669421487603,"wilt"
1,"rf","brier_score",0.0101779752066116,"wilt"
2,"rf","auc",0.9963530269876,"wilt"
2,"rf","acc",0.981404958677686,"wilt"
2,"rf","brier_score",0.0112544876033058,"wilt"
3,"rf","auc",0.993639380530973,"wilt"
3,"rf","acc",0.975206611570248,"wilt"
3,"rf","brier_score",0.0160361652892562,"wilt"
4,"rf","auc",0.995018115942029,"wilt"
4,"rf","acc",0.983471074380165,"wilt"
4,"rf","brier_score",0.0112581239669421,"wilt"
5,"rf","auc",0.99741847826087,"wilt"
5,"rf","acc",0.993801652892562,"wilt"
5,"rf","brier_score",0.00878981818181818,"wilt"
6,"rf","auc",0.975337168725832,"wilt"
6,"rf","acc",0.979338842975207,"wilt"
6,"rf","brier_score",0.015115694214876,"wilt"
7,"rf","auc",0.991461559734513,"wilt"
7,"rf","acc",0.977272727272727,"wilt"
7,"rf","brier_score",0.016534479338843,"wilt"
8,"rf","auc",0.99571807502842,"wilt"
8,"rf","acc",0.979338842975207,"wilt"
8,"rf","brier_score",0.0125751818181818,"wilt"
9,"rf","auc",0.988813405797101,"wilt"
9,"rf","acc",0.987603305785124,"wilt"
9,"rf","brier_score",0.0095075867768595,"wilt"
10,"rf","auc",0.994235657225853,"wilt"
10,"rf","acc",0.975155279503106,"wilt"
10,"rf","brier_score",0.014044215320911,"wilt"
